volume,replicate,mass,calculated_volume,replicate_time,start_time,end_time,liquid,trial_type,aspirate_speed,dispense_speed,aspirate_wait_time,dispense_wait_time,retract_speed,blowout_vol,post_asp_air_vol,overaspirate_vol
0.05,0,0.04070000000000107,0.03230158730158815,53.05342483520508,2025-10-30T15:44:40.528989,2025-10-30T15:45:33.582413,glycerol,SCREENING,15,14,22.48070776462555,5.529413223266602,8.707314252853394,0.15312775373458865,0.03626673817634583,0.007370836436748504
0.05,0,0.055899999999999395,0.044365079365078885,97.95865416526794,2025-10-30T15:45:33.623154,2025-10-30T15:47:11.581808,glycerol,SCREENING,35,25,12.393135940656066,19.006759207695723,6.180459061637521,0.01821315046399832,0.07015586374327541,0.0036866620439104736
0.05,0,0.045900000000001384,0.036428571428572525,71.32277393341064,2025-10-30T15:47:11.611391,2025-10-30T15:48:22.934165,glycerol,SCREENING,26,20,28.394931005313993,12.44194284081459,2.857728261500597,0.05560032054781914,0.021137000154703857,0.0004255604417994618
0.05,0,0.030600000000001515,0.02428571428571549,89.6421685218811,2025-10-30T15:48:22.957056,2025-10-30T15:49:52.599225,glycerol,SCREENING,19,31,4.259606637060642,27.09417167119682,14.326068742200732,0.11600322518497706,0.08489191569387913,0.004007182500790804
0.05,0,0.04439999999999955,0.03523809523809488,66.91804790496826,2025-10-30T15:49:52.621371,2025-10-30T15:50:59.539418,glycerol,SCREENING,17,18,8.865606626495719,25.507228514179587,12.955780761316419,0.17929572090506554,0.009584618732333183,0.001498002845328301
0.025,0,0.013600000000000279,0.010793650793651015,89.2376720905304,2025-10-30T15:50:59.555389,2025-10-30T15:52:28.793061,glycerol,OVERVOLUME_ASSAY,35,25,12.393135940656066,19.006759207695723,6.180459061637521,0.01821315046399832,0.07015586374327541,0.0036866620439104736
0.1,0,0.10500000000000043,0.08333333333333368,117.21932744979858,2025-10-30T15:52:28.793061,2025-10-30T15:54:26.012388,glycerol,OVERVOLUME_ASSAY,35,25,12.393135940656066,19.006759207695723,6.180459061637521,0.01821315046399832,0.07015586374327541,0.0036866620439104736
0.05,0,0.05320000000000036,0.04222222222222251,56.091309785842896,2025-10-30T15:54:33.481064,2025-10-30T15:55:29.572374,glycerol,OPTIMIZATION,16,13,20.239134427067754,11.461154828952724,12.058219310007832,0.19961820211179082,0.005416096056659246,0.0039006840293578033
0.05,0,0.05250000000000021,0.04166666666666684,50.194844484329224,2025-10-30T15:55:36.576812,2025-10-30T15:56:26.771656,glycerol,OPTIMIZATION,14,12,27.328562610084784,2.994094242255981,9.819286493667208,0.2,0.007062013369990176,0.005458874199519443
0.05,0,0.05250000000000021,0.04166666666666684,52.44939470291138,2025-10-30T15:56:33.539975,2025-10-30T15:57:25.989370,glycerol,OPTIMIZATION,13,10,28.917956243895127,3.9971580300827343,8.892556536657843,0.19999999999999996,0.0,0.004321448268483958
0.05,0,0.04800000000000004,0.038095238095238126,49.76245164871216,2025-10-30T15:57:33.215804,2025-10-30T15:58:22.978256,glycerol,OPTIMIZATION,14,10,26.412948328354215,3.0015206636474875e-15,13.385207369800652,0.2,0.01677807653548879,0.00951075284304835
0.05,0,0.06260000000000154,0.04968253968254091,63.58539438247681,2025-10-30T15:58:30.235074,2025-10-30T15:59:33.820468,glycerol,OPTIMIZATION,15,19,27.87233004358358,1.7631711107718343e-15,7.825049177387354,0.2,0.018027854771714626,0.003720747021207745
0.05,0,0.06349999999999945,0.050396825396824954,61.56610369682312,2025-10-30T15:59:33.820468,2025-10-30T16:00:35.386572,glycerol,OPTIMIZATION,15,19,27.87233004358358,1.7631711107718343e-15,7.825049177387354,0.2,0.018027854771714626,0.003720747021207745
0.05,0,0.06630000000000003,0.05261904761904764,62.237407207489014,2025-10-30T16:00:35.386572,2025-10-30T16:01:37.623979,glycerol,OPTIMIZATION,15,19,27.87233004358358,1.7631711107718343e-15,7.825049177387354,0.2,0.018027854771714626,0.003720747021207745
0.05,0,0.05819999999999936,0.046190476190475685,64.71521878242493,2025-10-30T16:01:47.062809,2025-10-30T16:02:51.778027,glycerol,OPTIMIZATION,13,20,29.999999999999986,4.107264345138318e-14,6.0758594836761874,0.19999999999999862,0.0,0.0013951423650169603
0.05,0,0.05969999999999942,0.04738095238095192,62.79944467544556,2025-10-30T16:02:51.778027,2025-10-30T16:03:54.577472,glycerol,OPTIMIZATION,13,20,29.999999999999986,4.107264345138318e-14,6.0758594836761874,0.19999999999999862,0.0,0.0013951423650169603
0.05,0,0.06140000000000079,0.04873015873015935,63.925408124923706,2025-10-30T16:03:54.581700,2025-10-30T16:04:58.507108,glycerol,OPTIMIZATION,13,20,29.999999999999986,4.107264345138318e-14,6.0758594836761874,0.19999999999999862,0.0,0.0013951423650169603
0.05,0,0.05740000000000123,0.04555555555555653,67.35219430923462,2025-10-30T16:05:06.990287,2025-10-30T16:06:14.342481,glycerol,OPTIMIZATION,15,20,30.0,0.0,11.809440362787607,0.2,0.04136844870748277,0.003132175602260304
0.05,0,0.06769999999999854,0.05373015873015757,65.60440230369568,2025-10-30T16:06:14.342481,2025-10-30T16:07:19.946883,glycerol,OPTIMIZATION,15,20,30.0,0.0,11.809440362787607,0.2,0.04136844870748277,0.003132175602260304
0.05,0,0.06750000000000078,0.05357142857142919,65.84609389305115,2025-10-30T16:07:19.962854,2025-10-30T16:08:25.808948,glycerol,OPTIMIZATION,15,20,30.0,0.0,11.809440362787607,0.2,0.04136844870748277,0.003132175602260304
