surf_A_conc_mm,surf_B_conc_mm,triangle_score,max_distance,second_largest_distance,triangle_area,triangle_vertices,rank
16.59701029351219,3.7177425390407595,2.4659893024959407,1.9932959548872613,1.5595041778754033,0.03820320910498366,"(52, 70, 95)",1
3.765179377736876,0.08392232106126286,2.4636352156864647,0.8569591506839875,0.6074434764567923,0.2062973291669117,"(47, 72, 17)",2
9.223628902145036,9.341318546285049,2.4585474416636646,2.9278131077412053,2.6661441508117734,0.017600764194796056,"(25, 99, 112)",3
10.294935108514007,0.00011303895985034218,2.4569742218625716,2.011309427472249,1.1451703266332947,0.03724812887735915,"(122, 137, 20)",4
0.23436496859806694,17.908863529895562,2.449086679709823,0.8675310088042726,0.723208283429843,0.1989295674109506,"(44, 19, 14)",5
2.5642675623749835,3.5438677291184475,2.429068570334229,4.132981607379948,3.4079587663362307,0.008622111684540412,"(135, 107, 129)",6
0.6628484835449995,0.7717748009816809,2.421027628965996,2.5727752619381454,2.3514335421877828,0.02210328526788338,"(83, 41, 108)",7
9.540814451001827,7.1275316692253075,2.3876438311113692,2.9278131077412053,2.6363760987013456,0.01660020395633219,"(99, 25, 134)",8
5.235414209017991,0.27287831455764594,2.3513525413165977,1.7197460005062688,1.2803193735795007,0.04666249112108716,"(110, 27, 72)",9
2.871525687165521,2.4022365940135693,2.3405166241033775,3.149423342775317,2.6337817783500617,0.013785496618835366,"(143, 107, 124)",10
0.00273627738206236,9.744570848046486,2.3314812865685215,1.0618355326217537,0.9136954652308065,0.12034010868069847,"(120, 67, 131)",11
4.274145256087245,0.7524503927224239,2.313197122128544,1.5070706810676318,1.051758849008225,0.05880565401517125,"(111, 69, 100)",12
