,well_position,turbidity_600
0,A1,0.0403
1,A2,0.0385
2,A3,0.0385
3,A4,0.0395
4,A5,0.04
5,A6,0.0386
6,A7,0.0386
7,A8,0.0379
8,A9,0.0377
9,A10,0.0377
10,A11,0.0382
11,A12,0.0407
12,B1,0.0388
13,B2,0.0387
14,B3,0.0387
15,B4,0.0387
16,B5,0.0385
17,B6,0.0476
18,B7,0.0385
19,B8,0.0917
20,B9,0.0438
21,B10,0.0414
22,B11,0.0387
23,B12,0.0528
24,C1,0.2737
25,C2,0.0803
26,C3,0.0405
27,C4,0.0543
28,C5,0.1703
29,C6,1.1168
30,C7,1.1708
31,C8,0.0411
32,C9,0.055
33,C10,1.7455
34,C11,2.8425
