,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,231204.0,301513.0,0
1,A2,221186.0,289966.0,1
2,A3,349559.0,420987.0,2
3,A4,249277.0,295470.0,3
4,A5,239965.0,284850.0,4
5,A6,225173.0,270426.0,5
6,A7,86856.0,88858.0,6
7,A8,204546.0,262243.0,7
8,A9,217660.0,283263.0,8
9,A10,229347.0,301930.0,9
10,A11,229983.0,301651.0,10
11,A12,204745.0,236368.0,11
12,B1,192577.0,217571.0,12
13,B2,139613.0,152737.0,13
14,B3,130778.0,141995.0,14
15,B4,156164.0,183849.0,15
16,B5,173362.0,213519.0,16
17,B6,155184.0,184924.0,17
18,B7,185887.0,233097.0,18
19,B8,163888.0,188092.0,19
20,B9,192369.0,221712.0,20
21,B10,150413.0,178983.0,21
22,B11,147774.0,177769.0,22
23,B12,147104.0,164189.0,23
24,C1,59552.0,71563.0,24
25,C2,96123.0,110526.0,25
26,C3,164727.0,203359.0,26
27,C4,116601.0,124698.0,27
28,C5,61083.0,71788.0,28
29,C6,23232.0,28615.0,29
30,C7,33879.0,44298.0,30
31,C8,192622.0,242805.0,31
32,C9,161885.0,200718.0,32
33,C10,35772.0,43921.0,33
34,C11,30212.0,42703.0,34
