,well_position,turbidity_600
0,A1,0.0405
1,A2,0.0396
2,A3,0.0385
3,A4,0.0398
4,A5,0.0403
5,A6,0.0389
6,A7,0.0435
7,A8,0.0381
8,A9,0.0378
9,A10,0.0379
10,A11,0.0389
11,A12,0.0381
12,B1,0.0391
13,B2,0.0386
14,B3,0.0386
15,B4,0.0388
16,B5,0.0388
17,B6,0.0466
18,B7,0.0382
19,B8,0.1062
20,B9,0.0493
21,B10,0.0473
22,B11,0.0386
23,B12,0.0608
24,C1,0.697
25,C2,0.1237
26,C3,0.0388
27,C4,0.0475
28,C5,0.2153
29,C6,1.3599
30,C7,1.4056
31,C8,0.042
32,C9,0.0382
33,C10,1.4305
34,C11,2.8813
