,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,298180.0,404428.0,0
1,A2,184839.0,245655.0,1
2,A3,228054.0,264544.0,2
3,A4,179958.0,206776.0,3
4,A5,203616.0,240536.0,4
5,A6,205888.0,258260.0,5
6,A7,92624.0,97937.0,6
7,A8,229671.0,309258.0,7
8,A9,275808.0,373621.0,8
9,A10,317379.0,426417.0,9
10,A11,310201.0,417468.0,10
11,A12,172405.0,196572.0,11
12,B1,173386.0,198807.0,12
13,B2,133995.0,153792.0,13
14,B3,141501.0,168577.0,14
15,B4,207740.0,268682.0,15
16,B5,220292.0,273787.0,16
17,B6,182617.0,230777.0,17
18,B7,183781.0,237528.0,18
19,B8,135631.0,157092.0,19
20,B9,176515.0,203539.0,20
21,B10,182636.0,232756.0,21
22,B11,182645.0,231934.0,22
23,B12,119036.0,128986.0,23
24,C1,69235.0,84355.0,24
25,C2,109775.0,135911.0,25
26,C3,196397.0,246666.0,26
27,C4,111515.0,116307.0,27
28,C5,72510.0,85657.0,28
29,C6,37438.0,49702.0,29
30,C7,85976.0,121924.0,30
31,C8,240726.0,316711.0,31
32,C9,214963.0,276947.0,32
33,C10,75882.0,101991.0,33
34,C11,62817.0,92463.0,34
