,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,210225.0,269696.0,0
1,A2,179534.0,234020.0,1
2,A3,273145.0,323627.0,2
3,A4,217756.0,255081.0,3
4,A5,226451.0,267644.0,4
5,A6,210028.0,254913.0,5
6,A7,85384.0,87220.0,6
7,A8,212853.0,277473.0,7
8,A9,216097.0,283680.0,8
9,A10,226489.0,299521.0,9
10,A11,217918.0,285438.0,10
11,A12,186433.0,214070.0,11
12,B1,179652.0,203083.0,12
13,B2,130303.0,142086.0,13
14,B3,123154.0,134930.0,14
15,B4,159767.0,193037.0,15
16,B5,179749.0,221146.0,16
17,B6,141922.0,169810.0,17
18,B7,177644.0,222270.0,18
19,B8,152486.0,173301.0,19
20,B9,183807.0,212092.0,20
21,B10,163928.0,200818.0,21
22,B11,140951.0,168897.0,22
23,B12,136876.0,152030.0,23
24,C1,58127.0,72294.0,24
25,C2,93339.0,108855.0,25
26,C3,158313.0,193807.0,26
27,C4,113990.0,123338.0,27
28,C5,62801.0,74837.0,28
29,C6,27587.0,35097.0,29
30,C7,34553.0,45470.0,30
31,C8,182348.0,231201.0,31
32,C9,181081.0,230969.0,32
33,C10,47064.0,59720.0,33
34,C11,37160.0,53738.0,34
