,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,206504.0,263792.0,0
1,A2,177216.0,229709.0,1
2,A3,259378.0,304944.0,2
3,A4,210530.0,246192.0,3
4,A5,220216.0,260853.0,4
5,A6,208896.0,253814.0,5
6,A7,85422.0,87234.0,6
7,A8,214171.0,280914.0,7
8,A9,214355.0,281325.0,8
9,A10,223809.0,295814.0,9
10,A11,212660.0,277948.0,10
11,A12,179908.0,204727.0,11
12,B1,175343.0,198708.0,12
13,B2,129001.0,140775.0,13
14,B3,123391.0,136746.0,14
15,B4,163361.0,198020.0,15
16,B5,179787.0,223576.0,16
17,B6,141313.0,168458.0,17
18,B7,175752.0,219109.0,18
19,B8,147672.0,167734.0,19
20,B9,180416.0,207647.0,20
21,B10,166382.0,203682.0,21
22,B11,138432.0,164716.0,22
23,B12,132762.0,146531.0,23
24,C1,58911.0,74298.0,24
25,C2,93195.0,109013.0,25
26,C3,157383.0,190689.0,26
27,C4,114351.0,123430.0,27
28,C5,65511.0,78988.0,28
29,C6,28755.0,36871.0,29
30,C7,36325.0,48049.0,30
31,C8,178957.0,225668.0,31
32,C9,179447.0,226885.0,32
33,C10,51370.0,65214.0,33
34,C11,43807.0,74605.0,34
