,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,223653.0,293109.0,0
1,A2,191301.0,248680.0,1
2,A3,328211.0,392119.0,2
3,A4,240037.0,283598.0,3
4,A5,237439.0,281587.0,4
5,A6,220640.0,264380.0,5
6,A7,86677.0,89147.0,6
7,A8,206519.0,266648.0,7
8,A9,216517.0,281934.0,8
9,A10,227866.0,300223.0,9
10,A11,226098.0,295989.0,10
11,A12,201398.0,232163.0,11
12,B1,190407.0,215368.0,12
13,B2,137115.0,149512.0,13
14,B3,127705.0,139148.0,14
15,B4,154732.0,182481.0,15
16,B5,175301.0,215472.0,16
17,B6,144397.0,172426.0,17
18,B7,182206.0,227771.0,18
19,B8,161333.0,183179.0,19
20,B9,189272.0,217394.0,20
21,B10,154183.0,184073.0,21
22,B11,144906.0,174018.0,22
23,B12,145750.0,162680.0,23
24,C1,57638.0,70190.0,24
25,C2,97059.0,112045.0,25
26,C3,163474.0,200083.0,26
27,C4,115263.0,124205.0,27
28,C5,59182.0,69750.0,28
29,C6,24156.0,29913.0,29
30,C7,33066.0,43225.0,30
31,C8,189084.0,238280.0,31
32,C9,164641.0,205252.0,32
33,C10,38095.0,47328.0,33
34,C11,29946.0,42918.0,34
