,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,209959.0,272196.0,0
1,A2,177572.0,227711.0,1
2,A3,244865.0,284414.0,2
3,A4,204579.0,238900.0,3
4,A5,214519.0,252094.0,4
5,A6,209412.0,255098.0,5
6,A7,93508.0,99815.0,6
7,A8,215547.0,281407.0,7
8,A9,211876.0,277763.0,8
9,A10,219338.0,288379.0,9
10,A11,200302.0,258531.0,10
11,A12,175443.0,198988.0,11
12,B1,171595.0,195032.0,12
13,B2,127565.0,140013.0,13
14,B3,124547.0,139518.0,14
15,B4,166345.0,203958.0,15
16,B5,180920.0,223299.0,16
17,B6,142122.0,168958.0,17
18,B7,172295.0,215814.0,18
19,B8,143685.0,162399.0,19
20,B9,180186.0,207612.0,20
21,B10,167328.0,205520.0,21
22,B11,137427.0,163039.0,22
23,B12,129766.0,143383.0,23
24,C1,61087.0,76606.0,24
25,C2,92643.0,109556.0,25
26,C3,156556.0,187623.0,26
27,C4,114689.0,123960.0,27
28,C5,66615.0,81106.0,28
29,C6,30148.0,39730.0,29
30,C7,38110.0,50781.0,30
31,C8,179261.0,221813.0,31
32,C9,172588.0,213854.0,32
33,C10,58153.0,75165.0,33
34,C11,51086.0,77513.0,34
