,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,296026.0,401756.0,0
1,A2,205936.0,305247.0,1
2,A3,213406.0,247025.0,2
3,A4,174032.0,199167.0,3
4,A5,184226.0,214445.0,4
5,A6,210322.0,268521.0,5
6,A7,93095.0,98135.0,6
7,A8,256755.0,346219.0,7
8,A9,257528.0,345442.0,8
9,A10,277860.0,372337.0,9
10,A11,281178.0,378544.0,10
11,A12,160318.0,178337.0,11
12,B1,153599.0,165710.0,12
13,B2,132438.0,145457.0,13
14,B3,166839.0,201948.0,14
15,B4,208144.0,255992.0,15
16,B5,196730.0,246987.0,16
17,B6,163364.0,198852.0,17
18,B7,191383.0,247577.0,18
19,B8,139395.0,154515.0,19
20,B9,186040.0,211029.0,20
21,B10,191153.0,243883.0,21
22,B11,166386.0,205503.0,22
23,B12,115980.0,123817.0,23
24,C1,73117.0,88936.0,24
25,C2,112841.0,143216.0,25
26,C3,204547.0,259678.0,26
27,C4,116883.0,126829.0,27
28,C5,72797.0,88459.0,28
29,C6,43365.0,58199.0,29
30,C7,91569.0,131802.0,30
31,C8,231459.0,302677.0,31
32,C9,208195.0,267789.0,32
33,C10,79299.0,106522.0,33
34,C11,64998.0,95553.0,34
