,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,336017.0,465238.0,0
1,A2,175505.0,225086.0,1
2,A3,240163.0,280420.0,2
3,A4,198183.0,232009.0,3
4,A5,210114.0,248918.0,4
5,A6,211042.0,263621.0,5
6,A7,89944.0,94118.0,6
7,A8,222064.0,294279.0,7
8,A9,218114.0,289656.0,8
9,A10,220035.0,295654.0,9
10,A11,280634.0,381980.0,10
11,A12,172359.0,196143.0,11
12,B1,169011.0,195544.0,12
13,B2,128595.0,144968.0,13
14,B3,130631.0,149480.0,14
15,B4,177449.0,223852.0,15
16,B5,185923.0,234103.0,16
17,B6,145535.0,173115.0,17
18,B7,172000.0,212647.0,18
19,B8,137691.0,157282.0,19
20,B9,175279.0,201725.0,20
21,B10,171523.0,211443.0,21
22,B11,138097.0,165724.0,22
23,B12,125783.0,137757.0,23
24,C1,64176.0,79628.0,24
25,C2,95491.0,115415.0,25
26,C3,153424.0,189408.0,26
27,C4,116213.0,125971.0,27
28,C5,70888.0,86972.0,28
29,C6,34189.0,45548.0,29
30,C7,46822.0,67286.0,30
31,C8,238437.0,310796.0,31
32,C9,200571.0,256852.0,32
33,C10,67165.0,88772.0,33
34,C11,55235.0,85503.0,34
