,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,290294.0,393914.0,0
1,A2,243181.0,334748.0,1
2,A3,205215.0,236150.0,2
3,A4,166563.0,188541.0,3
4,A5,179862.0,205974.0,4
5,A6,212147.0,275016.0,5
6,A7,90728.0,96256.0,6
7,A8,252568.0,337882.0,7
8,A9,252318.0,338947.0,8
9,A10,267931.0,361735.0,9
10,A11,275689.0,373137.0,10
11,A12,156076.0,173659.0,11
12,B1,160493.0,177671.0,12
13,B2,130656.0,143907.0,13
14,B3,181107.0,222792.0,14
15,B4,217975.0,280063.0,15
16,B5,213555.0,276570.0,16
17,B6,196262.0,248014.0,17
18,B7,222342.0,291649.0,18
19,B8,129110.0,143742.0,19
20,B9,163933.0,185991.0,20
21,B10,197462.0,253250.0,21
22,B11,167897.0,209080.0,22
23,B12,111066.0,118386.0,23
24,C1,72156.0,85673.0,24
25,C2,114845.0,146175.0,25
26,C3,202568.0,258645.0,26
27,C4,112322.0,121046.0,27
28,C5,72089.0,87716.0,28
29,C6,46164.0,61809.0,29
30,C7,95445.0,134943.0,30
31,C8,227579.0,298222.0,31
32,C9,203896.0,263561.0,32
33,C10,79178.0,106922.0,33
34,C11,74160.0,110714.0,34
