,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,215612.0,279108.0,0
1,A2,182889.0,238541.0,1
2,A3,296594.0,355291.0,2
3,A4,227062.0,267115.0,3
4,A5,231407.0,274865.0,4
5,A6,214425.0,257314.0,5
6,A7,85547.0,87260.0,6
7,A8,208791.0,271194.0,7
8,A9,216335.0,282058.0,8
9,A10,225843.0,298577.0,9
10,A11,219074.0,288525.0,10
11,A12,193467.0,222572.0,11
12,B1,184021.0,207386.0,12
13,B2,132575.0,143914.0,13
14,B3,123917.0,135798.0,14
15,B4,154661.0,184706.0,15
16,B5,176208.0,218609.0,16
17,B6,141915.0,168320.0,17
18,B7,179020.0,222999.0,18
19,B8,156383.0,179542.0,19
20,B9,184248.0,213356.0,20
21,B10,158878.0,193195.0,21
22,B11,143121.0,171240.0,22
23,B12,141163.0,157848.0,23
24,C1,57312.0,71044.0,24
25,C2,94516.0,110271.0,25
26,C3,159378.0,195791.0,26
27,C4,113069.0,122146.0,27
28,C5,60011.0,71607.0,28
29,C6,26041.0,33037.0,29
30,C7,33458.0,43785.0,30
31,C8,185322.0,234018.0,31
32,C9,175179.0,218806.0,32
33,C10,43005.0,53654.0,33
34,C11,33915.0,48763.0,34
