,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,277513.0,377519.0,0
1,A2,238260.0,322448.0,1
2,A3,186031.0,212082.0,2
3,A4,154140.0,173823.0,3
4,A5,168018.0,191535.0,4
5,A6,215303.0,278159.0,5
6,A7,89121.0,93922.0,6
7,A8,245813.0,327316.0,7
8,A9,244700.0,327493.0,8
9,A10,257482.0,348806.0,9
10,A11,265179.0,358018.0,10
11,A12,148312.0,164612.0,11
12,B1,153085.0,171235.0,12
13,B2,129831.0,144202.0,13
14,B3,182793.0,227624.0,14
15,B4,216042.0,278001.0,15
16,B5,210085.0,270646.0,16
17,B6,191217.0,243422.0,17
18,B7,216946.0,282133.0,18
19,B8,123931.0,136260.0,19
20,B9,155295.0,175155.0,20
21,B10,200896.0,255766.0,21
22,B11,161973.0,200726.0,22
23,B12,104182.0,110711.0,23
24,C1,71775.0,83616.0,24
25,C2,112118.0,141811.0,25
26,C3,193642.0,247167.0,26
27,C4,107369.0,113578.0,27
28,C5,69156.0,84204.0,28
29,C6,48244.0,65707.0,29
30,C7,96594.0,136644.0,30
31,C8,221810.0,287843.0,31
32,C9,199306.0,255034.0,32
33,C10,82395.0,109689.0,33
34,C11,89367.0,134536.0,34
