trial_num,deviation_pct,precision_cv_pct,duration_mean_s,w_acc,w_prec,w_time,score,pct_acc,pct_prec,pct_time
2,3.3376,0.1416,25.4699,11.5693,2.8233,16.2480,30.6406,37.7581,9.2143,53.0277
10,3.2812,0.9176,16.2704,11.3740,18.2936,10.3794,40.0470,28.4017,45.6803,25.9180
26,1.2167,1.4280,22.0033,4.2177,28.4685,14.0366,46.7227,9.0270,60.9307,30.0423
9,4.6557,1.0107,20.8698,16.1384,20.1496,13.3134,49.6015,32.5362,40.6230,26.8408
15,1.5603,1.6913,17.6028,5.4088,33.7177,11.2294,50.3558,10.7411,66.9588,22.3001
24,1.8166,1.6989,23.7360,6.2972,33.8679,15.1419,55.3070,11.3859,61.2361,27.3779
29,1.2562,1.9240,20.2692,4.3543,38.3562,12.9303,55.6409,7.8258,68.9353,23.2389
31,2.5771,1.6454,24.2026,8.9332,32.8014,15.4396,57.1742,15.6246,57.3709,27.0045
13,2.6236,1.7539,21.2032,9.0943,34.9640,13.5261,57.5844,15.7930,60.7177,23.4892
19,1.9856,1.8165,26.0698,6.8830,36.2124,16.6307,59.7261,11.5243,60.6308,27.8449
16,1.9687,2.1316,16.8033,6.8244,42.4938,10.7193,60.0375,11.3669,70.7787,17.8544
12,2.2391,2.2389,14.4031,7.7617,44.6324,9.1882,61.5822,12.6038,72.4761,14.9202
20,1.6477,2.4109,14.4028,5.7114,48.0624,9.1880,62.9618,9.0712,76.3358,14.5930
3,7.9848,0.6211,43.0030,27.6784,12.3812,27.4329,67.4926,41.0096,18.3446,40.6458
7,7.3933,1.1155,33.2699,25.6282,22.2370,21.2239,69.0890,37.0944,32.1860,30.7196
22,3.0672,2.4007,17.2029,10.6320,47.8595,10.9742,69.4658,15.3054,68.8966,15.7980
14,3.1010,2.2775,21.1363,10.7492,45.4038,13.4835,69.6364,15.4362,65.2012,19.3627
23,2.6616,2.7365,19.8695,9.2261,54.5538,12.6754,76.4553,12.0674,71.3538,16.5788
27,2.6757,2.8551,19.7359,9.2750,56.9177,12.5901,78.7828,11.7728,72.2464,15.9808
25,7.3764,2.3555,14.6027,25.5696,46.9576,9.3155,81.8427,31.2423,57.3754,11.3822
11,6.4639,2.6135,17.0033,22.4063,52.1002,10.8469,85.3534,26.2512,61.0405,12.7082
18,10.7562,1.9529,14.6031,37.2853,38.9327,9.3157,85.5338,43.5914,45.5173,10.8913
21,3.1193,3.2117,19.7362,10.8126,64.0273,12.5903,87.4302,12.3672,73.2324,14.4004
17,5.0951,1.6654,64.0698,17.6615,33.2010,40.8720,91.7345,19.2528,36.1925,44.5547
6,16.9328,0.6272,41.8037,58.6958,12.5027,26.6678,97.8663,59.9755,12.7753,27.2492
30,4.0642,3.7409,22.0694,14.0882,74.5756,14.0788,102.7425,13.7121,72.5849,13.7029
28,5.5739,6.0134,21.9363,19.3212,119.8783,13.9938,153.1934,12.6123,78.2529,9.1348
5,23.2925,4.0216,30.2702,80.7409,80.1723,19.3102,180.2235,44.8004,44.4850,10.7146
4,37.1187,1.1277,49.4695,128.6680,22.4817,31.5581,182.7078,70.4228,12.3047,17.2724
1,43.7262,1.7899,59.0701,151.5723,35.6829,37.6826,224.9378,67.3841,15.8634,16.7525
8,40.9717,1.7932,77.1367,142.0240,35.7483,49.2078,226.9800,62.5711,15.7495,21.6794
32,11.3843,14.7571,15.2028,39.4625,294.1876,9.6983,343.3484,11.4934,85.6819,2.8246
