volume_target_ml,volume_target_ul,volume_measured_ml,volume_measured_ul,deviation_pct,precision_cv_pct,duration_s,trials_count,status,measurement_count,calibration_overaspirate_vol,hardware_parameters_aspirate_speed,hardware_parameters_dispense_speed,hardware_parameters_aspirate_wait_time,hardware_parameters_pre_asp_air_vol,hardware_parameters_dispense_wait_time,hardware_parameters_blowout_vol,hardware_parameters_post_asp_air_vol,hardware_parameters_asp_disp_cycles,hardware_parameters_post_retract_wait_time,hardware_parameters_retract_speed
0.15,150.0,0.14844973544973497,148.44973544973496,1.0335097001766824,0.606213325483724,73.6027205333424,26,success,35,0.032100000000000004,2,29,26.700000000000003,0.075,0.0,0.0,0.0,0,5.0,2.0
0.1,100.0,0.09976984126984179,99.76984126984179,0.6269841269836498,0.8887349568641231,69.1022378000198,3,success,7,0.0260841269841265,2,29,26.700000000000003,0.075,0.0,0.0,0.0,0,5.0,2.0
0.05,50.0,0.05048677248677193,50.486772486771926,0.973544973543854,0.8531375807543462,63.73649496662741,3,success,7,0.015711239910056497,2,29,26.700000000000003,0.075,0.0,0.0,0.0,0,5.0,2.0
