volume_target_ml,volume_target_ul,volume_measured_ml,volume_measured_ul,deviation_pct,precision_cv_pct,duration_s,trials_count,status,measurement_count,calibration_overaspirate_vol,hardware_parameters_aspirate_speed,hardware_parameters_dispense_speed,hardware_parameters_aspirate_wait_time,hardware_parameters_blowout_vol,hardware_parameters_post_asp_air_vol
0.05,50.0,0.049920000000000506,49.920000000000506,0.5963636363626929,0.7873369333761199,24.74998208004981,17,success,69,0.0024000000000000002,22,12,0.5,0.115,0.034
0.025,25.0,0.02503696969696989,25.03696969696989,1.2484848484848488,1.6808884322038153,25.059894300159065,3,success,7,0.0016499999999989644,22,12,0.5,0.115,0.034
0.01,10.0,0.009654545454544914,9.654545454544914,3.4545454545508516,4.890986407995686,23.914758340176196,3,success,7,0.0006985074626868445,22,12,0.5,0.115,0.034
0.005,5.0,0.00487454545454501,4.87454545454501,2.872727272732519,3.424656152532984,23.462081679981203,15,success,38,0.0002,22,12,0.5,0.099,0.021
0.002,2.0,0.0020509090909086388,2.0509090909086387,4.363636363634481,4.9913788156915055,25.26209340002388,15,success,31,-0.0002,22,12,0.5,0.127,0.042
