volume_target_ml,volume_target_ul,volume_measured_ml,volume_measured_ul,deviation_pct,precision_cv_pct,duration_s,trials_count,status,measurement_count,calibration_overaspirate_vol,hardware_parameters_aspirate_speed,hardware_parameters_dispense_speed,hardware_parameters_aspirate_wait_time,hardware_parameters_post_asp_air_vol,hardware_parameters_pre_asp_air_vol
0.05,50.0,0.05020171513795644,50.20171513795644,0.40343027591286756,0.3703710120835096,17.215698999973636,15,success,38,-0.0012000000000000001,10,11,2.2,0.0,0.12
0.02,20.0,0.01977628635346757,19.77628635346757,1.789709172257519,2.2080567076838142,16.93005540035665,3,success,5,-0.0002123456790125877,10,11,2.2,0.0,0.12
0.01,10.0,0.009922818791945795,9.922818791945796,2.4496644295310457,2.8987028358600253,18.893043899598222,5,success,11,-0.0002,10,11,2.2,0.05,0.3
0.005,5.0,0.0048769574944073175,4.876957494407318,2.4608501118536577,2.102098942624653,16.52553479994337,10,success,20,0.0008,10,11,2.2,0.0,0.098
