,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index,ratio
0,B3,180319.0,215775.0,14,0.835680685899664
1,B4,57344.0,81348.0,15,0.7049220632344987
2,B5,44922.0,60484.0,16,0.7427088155545268
3,B6,31549.0,42772.0,17,0.7376087159824184
4,B7,64859.0,80441.0,18,0.8062928108800239
5,B8,193124.0,235472.0,19,0.820156961337229
6,B9,258612.0,335629.0,20,0.7705293642682843
7,B10,149838.0,174271.0,21,0.8597988190806273
8,B11,190404.0,230030.0,22,0.8277355127592053
9,B12,45509.0,59868.0,23,0.7601556758201377
10,C1,239200.0,298410.0,24,0.8015817164304145
11,C2,86609.0,114028.0,25,0.759541516118848
12,C3,218839.0,254969.0,26,0.858296498790049
13,C4,216397.0,252071.0,27,0.8584763816543751
