,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index,ratio
0,H1,22083.0,27783.0,84,0.7948385703487745
1,H2,31398.0,41473.0,85,0.757070865382297
2,H3,27393.0,35439.0,86,0.7729619910268348
3,H4,42326.0,56315.0,87,0.7515937139305692
4,H5,37557.0,50442.0,88,0.7445581063399548
5,H6,202777.0,254728.0,89,0.7960530448164317
6,H7,23245.0,29819.0,90,0.7795365371072135
7,H8,226928.0,287554.0,91,0.7891665565424233
8,H9,177630.0,210305.0,92,0.8446304177266352
9,H10,45955.0,62420.0,93,0.7362223646267222
10,H11,204321.0,258444.0,94,0.7905813251613503
11,H12,57254.0,73297.0,95,0.7811233747629507
