,well_position,turbidity_600,wellplate_index
0,A1,0.039,0
1,A2,0.0383,1
2,A3,0.039,2
3,A4,0.0403,3
4,A5,0.0393,4
5,A6,0.0429,5
6,A7,0.0394,6
7,A8,0.0388,7
8,A9,0.0387,8
9,A10,0.0378,9
10,A11,0.039,10
11,A12,0.0385,11
12,B1,0.0387,12
13,B2,0.0379,13
14,B3,0.0379,14
15,B4,0.0392,15
16,B5,0.0381,16
17,B6,0.0384,17
18,B7,0.0384,18
19,B8,0.0413,19
20,B9,0.04,20
21,B10,0.0389,21
22,B11,0.0385,22
23,B12,0.0417,23
24,C1,0.0391,24
25,C2,0.0803,25
26,C3,0.0433,26
27,C4,0.0403,27
28,C5,0.0392,28
29,C6,0.0396,29
30,C7,0.0447,30
31,C8,0.3889,31
32,C9,0.0557,32
33,C10,0.0383,33
34,C11,0.0382,34
35,C12,0.0405,35
36,D1,0.098,36
37,D2,1.4387,37
38,D3,0.9915,38
39,D4,0.0383,39
40,D5,0.038,40
41,D6,0.039,41
42,D7,1.251,42
43,D8,3.0392,43
