trial_id,strategy,liquid,volume_target_ml,volume_target_ul,volume_measured_ml,volume_measured_ul,deviation_pct,precision_cv_pct,duration_mean_s,composite_score,quality_overall,measurement_count,meets_accuracy_threshold,meets_precision_threshold,calibration_overaspirate_vol,hardware_parameters_aspirate_speed,hardware_parameters_dispense_speed,hardware_parameters_aspirate_wait_time,hardware_parameters_blowout_vol,hardware_parameters_pre_asp_air_vol,tolerance_accuracy_pct,tolerance_precision_pct
trial_32,calibration,agar_water_refill,0.002,2.0,0.006336633663367398,6.336633663367397,216.83168316836986,100.0,29.046995300333947,2.3968233176677796,outside_tolerance,1,False,False,0.0064,10,5,4.5,0.139,0.0,0,5.0
trial_33,calibration,agar_water_refill,0.002,2.0,0.00209900990098978,2.09900990098978,4.950495049488995,0.0,28.382389099802822,0.9906475676251291,within_tolerance,1,True,True,0.001963366336632603,10,5,4.5,0.139,0.0,0,5.0
trial_34,inherited,agar_water_refill,0.002,2.0,0.002092409240923437,2.092409240923437,8.580858085746065,9.526604965578683,30.124761799971264,1.0832179604997856,partial_tolerance,3,True,False,0.0018597066716010224,10,5,4.5,0.3,0.056,0,5.0
trial_35,optimization,agar_water_refill,0.002,2.0,0.002495049504949253,2.495049504949253,24.752475247462648,100.0,28.635370099917054,2.1710287914216138,outside_tolerance,1,False,False,0.002,10,5,4.5,0.068,0.0,0,5.0
trial_36,optimization,agar_water_refill,0.002,2.0,0.0023168316831685453,2.3168316831685454,15.84158415842726,100.0,28.866550600156188,2.0925914722976517,outside_tolerance,1,False,False,0.0019,10,5,4.5,0.17,0.0,0,5.0
trial_37,optimization,agar_water_refill,0.002,2.0,0.0023762376237638732,2.376237623763873,18.81188118819366,100.0,28.979952599853277,2.119372119227899,outside_tolerance,1,False,False,0.0019,10,5,4.5,0.127,0.0,0,5.0
trial_38,optimization,agar_water_refill,0.002,2.0,0.0024752475247519826,2.4752475247519827,23.762376237599128,100.0,28.920377499889582,2.163177936000513,outside_tolerance,1,False,False,0.002,10,5,4.5,0.134,0.0,0,5.0
trial_39,optimization,agar_water_refill,0.002,2.0,0.0016831683168312779,1.6831683168312779,15.84158415843611,100.0,32.068511799909174,2.103264676296907,outside_tolerance,1,False,False,0.002,10,5,4.5,0.28300000000000003,0.178,0,5.0
trial_40,optimization,agar_water_refill,0.002,2.0,0.0017821782178211463,1.7821782178211463,10.891089108942689,100.0,29.412132899742573,2.050405679523077,outside_tolerance,1,False,False,0.0017000000000000001,10,5,4.5,0.28,0.0,0,5.0
trial_41,optimization,agar_water_refill,0.002,2.0,0.002351485148513768,2.351485148513768,17.5742574256884,100.0,29.518545900005847,2.1101663301172495,outside_tolerance,1,False,False,0.0021000000000000003,10,5,4.5,0.3,0.0,0,5.0
trial_42,optimization,agar_water_refill,0.002,2.0,0.0018349834983501312,1.8349834983501312,14.191419141906039,100.0,30.971821133357782,1.5321356267333563,outside_tolerance,3,False,False,0.0017000000000000001,10,5,4.5,0.273,0.259,0,5.0
trial_43,optimization,agar_water_refill,0.002,2.0,0.002188118811881013,2.1881188118810133,12.376237623821476,100.0,28.80150464992039,1.5351689318912962,outside_tolerance,2,False,False,0.0017000000000000001,10,5,4.5,0.181,0.0,0,5.0
trial_44,optimization,agar_water_refill,0.002,2.0,0.0016831683168312779,1.6831683168312779,15.84158415843611,100.0,28.516646000090986,2.0914251236308465,outside_tolerance,1,False,False,0.0017000000000000001,10,5,4.5,0.0,0.3,0,5.0
trial_45,optimization,agar_water_refill,0.002,2.0,0.0017821782178211463,1.7821782178211463,10.891089108942689,100.0,29.06282249977812,2.049241311523195,outside_tolerance,1,False,False,0.0018000000000000002,10,5,4.5,0.3,0.0,0,5.0
trial_46,optimization,agar_water_refill,0.002,2.0,0.001782178217822905,1.782178217822905,10.89108910885475,100.0,31.54630979988724,2.0575196025227775,outside_tolerance,1,False,False,0.0019,10,5,4.5,0.3,0.3,0,5.0
trial_47,optimization,agar_water_refill,0.002,2.0,0.0027722772277215878,2.7722772277215877,38.613861386079385,100.0,31.04880699981004,2.3022859023200724,outside_tolerance,1,False,False,0.0017000000000000001,10,5,4.5,0.3,0.3,0,5.0
trial_48,optimization,agar_water_refill,0.002,2.0,0.0023762376237621147,2.3762376237621146,18.81188118810573,100.0,28.40696409996599,2.1174621575608263,outside_tolerance,1,False,False,0.002,10,5,4.5,0.032,0.0,0,5.0
trial_49,optimization,agar_water_refill,0.002,2.0,0.0017623762376221173,1.7623762376221173,11.881188118894139,100.0,28.78230099985376,2.057107119945238,outside_tolerance,1,False,False,0.002,10,5,4.5,0.182,0.0,0,5.0
trial_50,optimization,agar_water_refill,0.002,2.0,0.002594059405939121,2.594059405939121,29.702970296956043,100.0,29.341224600095302,2.217386040195483,outside_tolerance,1,False,False,0.002,10,5,4.5,0.125,0.056,0,5.0
trial_51,optimization,agar_water_refill,0.002,2.0,0.002019801980197768,2.019801980197768,6.2706270626725935,7.781621503100817,29.85505236654232,0.7482652995903996,partial_tolerance,3,True,False,0.0018000000000000002,10,5,4.5,0.298,0.069,0,5.0
trial_52,optimization,agar_water_refill,0.002,2.0,0.002980198019802597,2.980198019802597,49.00990099012986,100.0,31.029341500019655,1.894630258245664,outside_tolerance,2,False,False,0.0019,10,5,4.5,0.271,0.077,0,5.0
trial_53,optimization,agar_water_refill,0.002,2.0,0.002125412541253393,2.125412541253393,6.930693069306894,7.530655685089642,29.925399399983387,1.0743121862398048,outside_tolerance,3,False,False,0.0018000000000000002,10,5,4.5,0.3,0.064,0,5.0
trial_54,optimization,agar_water_refill,0.002,2.0,0.001742574257424847,1.742574257424847,12.87128712875765,100.0,28.700327499769628,2.065634755032633,outside_tolerance,1,False,False,0.0019,10,5,4.5,0.14300000000000002,0.0,0,5.0
trial_55,optimization,agar_water_refill,0.002,2.0,0.00177227722772427,1.77227722772427,11.386138613786503,100.0,29.50622919993475,1.555119773900107,outside_tolerance,2,False,False,0.0018000000000000002,10,5,4.5,0.3,0.069,0,5.0
