surf_A_conc_mm,surf_B_conc_mm,triangle_score,max_distance,second_largest_distance,triangle_area,triangle_vertices,rank
2.599426713963087,7.008052417087081,2.144027613257032,1.5755320940751,1.0027863302598623,0.0613980146330094,"(133, 127, 77)",1
3.3733692310050016,19.161755027549766,2.133512311712472,2.549951671921768,2.083121168753776,0.02320996553163886,"(166, 129, 87)",2
3.927717165426487,3.1528014582776147,2.1088555444311905,1.8114740778220497,1.0213667410701859,0.04493425070919504,"(73, 119, 50)",3
9.262693104027022,0.00357103160206889,2.0982089465134215,2.111282025931005,1.7181472424007604,0.03274560780427167,"(70, 84, 79)",4
0.09771333003371023,11.78577448233296,2.0978949573579,0.9180282903554581,0.5642857718813418,0.1731424012650866,"(54, 51, 14)",5
7.955380338587617,0.027849930339036228,2.0959257101779505,1.999509128495507,1.955487705692621,0.03642948868225226,"(99, 52, 83)",6
0.0068173891471445605,4.3839137254599025,2.0911380288492434,1.7180452038864293,1.6836357165904814,0.04911841170640755,"(89, 27, 80)",7
13.607036414786775,4.220296045004333,2.085651739209614,2.6664787483327888,1.9213520401320041,0.020284084834312745,"(40, 63, 123)",8
0.0031859316033699377,4.383913725459904,2.084425159242726,1.5472844058785356,1.3565041610984387,0.060170054340349235,"(47, 91, 89)",9
6.332080924985777,0.02216713785595102,2.0726848670545266,1.955487705692621,1.8843359232329626,0.03724812887735906,"(53, 99, 83)",10
5.851735089336368,8.476035182679675,2.0614229657121155,2.9053458784554604,2.1010255188911473,0.016691163978010688,"(118, 92, 25)",11
0.00019830947885096078,0.26269387214600526,2.0455368852324503,0.4821376675716914,0.4571812469067759,0.5967887022328517,"(32, 3, 2)",12
