vial_name,surfactant,target_concentration_mm,needed_for_concentrations,source_vial,source_concentration_mm,source_volume_ml,water_volume_ml,final_volume_ml,dilution_factor
SDS_dilution_0,SDS,10.0,6.08e-01,SDS_stock,50.0,0.8,3.2,4.0,5.0
SDS_dilution_1,SDS,5.0,,SDS_stock,50.0,0.4,3.6,4.0,10.0
SDS_dilution_2,SDS,2.0,1.00e-01,SDS_dilution_0,10.0,0.8,3.2,4.0,5.0
SDS_dilution_3,SDS,1.0,,SDS_dilution_0,10.0,0.4,3.6,4.0,10.0
TTAB_dilution_0,TTAB,10.0,6.08e-01,TTAB_stock,50.0,0.8,3.2,4.0,5.0
TTAB_dilution_1,TTAB,5.0,,TTAB_stock,50.0,0.4,3.6,4.0,10.0
TTAB_dilution_2,TTAB,2.0,1.00e-01,TTAB_dilution_0,10.0,0.8,3.2,4.0,5.0
TTAB_dilution_3,TTAB,1.0,,TTAB_dilution_0,10.0,0.4,3.6,4.0,10.0
