,well_position,turbidity_600
0,A1,0.0394
1,A2,0.0382
2,A3,0.0387
3,A4,0.039
4,A5,0.0392
5,A6,0.0394
6,A7,0.0389
7,A8,0.0391
8,A9,0.0381
9,A10,0.0381
10,A11,0.0388
11,A12,0.0424
12,B1,0.0383
13,B2,0.0383
14,B3,0.038
15,B4,0.038
16,B5,0.0388
17,B6,0.0383
18,B7,0.0388
19,B8,0.0402
20,B9,0.0388
21,B10,0.0443
22,B11,0.0383
23,B12,0.0392
24,C1,0.0395
25,C2,0.0639
26,C3,0.0409
27,C4,0.0399
28,C5,0.0397
29,C6,0.0391
30,C7,0.0417
31,C8,0.1167
32,C9,0.0482
33,C10,0.0391
34,C11,0.0382
35,C12,0.0395
36,D1,0.0569
37,D2,1.2288
38,D3,0.6833
39,D4,0.0389
40,D5,0.0388
41,D6,0.0383
42,D7,0.4216
43,D8,3.0035
