volume,replicate,mass,start_time,end_time,aspirate_speed,wait_time,retract_speed,pre_asp_air_vol,post_asp_air_vol,blowout_vol
0.1,0,0.09500000000000064,2025-06-19T15:34:57.245582,2025-06-19T15:35:36.512136,17,3.9591368585824966,2.7358557134866714,0.03462322652339935,0.02134751379489899,0.05481463670730591
0.1,1,0.09660000000000046,2025-06-19T15:35:36.512136,2025-06-19T15:36:10.717208,17,3.9591368585824966,2.7358557134866714,0.03462322652339935,0.02134751379489899,0.05481463670730591
0.1,2,0.09810000000000052,2025-06-19T15:36:10.717208,2025-06-19T15:36:44.307835,17,3.9591368585824966,2.7358557134866714,0.03462322652339935,0.02134751379489899,0.05481463670730591
0.1,0,0.09389999999999965,2025-06-19T15:36:44.349096,2025-06-19T15:38:08.315252,28,18.609520692378283,10.75402433052659,0.06596395066007972,0.08671318618580699,0.0430792398750782
0.1,1,0.09729999999999883,2025-06-19T15:38:08.315252,2025-06-19T15:39:33.310750,28,18.609520692378283,10.75402433052659,0.06596395066007972,0.08671318618580699,0.0430792398750782
0.1,2,0.09379999999999988,2025-06-19T15:39:33.310750,2025-06-19T15:40:57.123506,28,18.609520692378283,10.75402433052659,0.06596395066007972,0.08671318618580699,0.0430792398750782
0.05,0,0.047100000000000364,2025-06-19T15:40:57.146017,2025-06-19T15:41:39.709615,22,8.125455986708403,5.638304226100445,0.010094708111137152,0.07079338999465108,0.012273490335792303
0.05,1,0.04259999999999842,2025-06-19T15:41:39.709615,2025-06-19T15:42:21.911040,22,8.125455986708403,5.638304226100445,0.010094708111137152,0.07079338999465108,0.012273490335792303
0.05,2,0.042299999999999116,2025-06-19T15:42:21.912042,2025-06-19T15:43:01.115402,22,8.125455986708403,5.638304226100445,0.010094708111137152,0.07079338999465108,0.012273490335792303
0.05,0,0.04399999999999871,2025-06-19T15:43:01.137550,2025-06-19T15:44:04.317828,10,22.747248930856586,14.628858705982566,0.09127677585929633,0.03686707001179457,0.09900011243298651
0.05,1,0.04380000000000095,2025-06-19T15:44:04.317828,2025-06-19T15:45:04.507982,10,22.747248930856586,14.628858705982566,0.09127677585929633,0.03686707001179457,0.09900011243298651
0.05,2,0.045499999999998764,2025-06-19T15:45:04.507982,2025-06-19T15:46:06.118688,10,22.747248930856586,14.628858705982566,0.09127677585929633,0.03686707001179457,0.09900011243298651
0.02,0,0.015699999999998937,2025-06-19T15:46:06.141110,2025-06-19T15:46:45.313779,6,11.976870746351779,9.412869492545724,0.08289078483358026,0.04044066481292248,0.0672242102213204
0.02,1,0.015499999999999403,2025-06-19T15:46:45.313779,2025-06-19T15:47:24.718216,6,11.976870746351779,9.412869492545724,0.08289078483358026,0.04044066481292248,0.0672242102213204
0.02,2,0.016399999999999082,2025-06-19T15:47:24.718216,2025-06-19T15:48:03.521791,6,11.976870746351779,9.412869492545724,0.08289078483358026,0.04044066481292248,0.0672242102213204
0.02,0,0.012599999999999056,2025-06-19T15:48:03.546700,2025-06-19T15:49:14.927380,20,26.396898253820837,3.8548407964408398,0.014184195548295975,0.055024944152683025,0.03047364791855216
0.02,1,0.012800000000000367,2025-06-19T15:49:14.928434,2025-06-19T15:50:26.924147,20,26.396898253820837,3.8548407964408398,0.014184195548295975,0.055024944152683025,0.03047364791855216
0.02,2,0.016799999999999926,2025-06-19T15:50:26.924406,2025-06-19T15:51:40.327338,20,26.396898253820837,3.8548407964408398,0.014184195548295975,0.055024944152683025,0.03047364791855216
0.01,0,0.004099999999999326,2025-06-19T15:51:40.355946,2025-06-19T15:52:27.921172,27,7.839112616144121,12.523789495229721,0.05831037536263466,0.08910270193591714,0.024659451097249985
0.01,1,0.006099999999999994,2025-06-19T15:52:27.921172,2025-06-19T15:53:17.121388,27,7.839112616144121,12.523789495229721,0.05831037536263466,0.08910270193591714,0.024659451097249985
0.01,2,0.006700000000000372,2025-06-19T15:53:17.122014,2025-06-19T15:54:08.122380,27,7.839112616144121,12.523789495229721,0.05831037536263466,0.08910270193591714,0.024659451097249985
0.01,0,0.006600000000000605,2025-06-19T15:54:08.153480,2025-06-19T15:55:05.305167,11,22.23054934386164,7.965542970225215,0.03954280922189355,0.005957488901913166,0.08641954753547908
0.01,1,0.007500000000000284,2025-06-19T15:55:05.305167,2025-06-19T15:56:06.727791,11,22.23054934386164,7.965542970225215,0.03954280922189355,0.005957488901913166,0.08641954753547908
0.01,2,0.006700000000000372,2025-06-19T15:56:06.728391,2025-06-19T15:57:05.325286,11,22.23054934386164,7.965542970225215,0.03954280922189355,0.005957488901913166,0.08641954753547908
0.1,0,0.09670000000000023,2025-06-19T15:57:29.538886,2025-06-19T15:57:48.926873,13,2.182169234517912,10.38598596924757,0.08929945447327998,0.01696762079561773,0.1
0.1,1,0.09719999999999906,2025-06-19T15:57:48.927127,2025-06-19T15:58:08.128616,13,2.182169234517912,10.38598596924757,0.08929945447327998,0.01696762079561773,0.1
0.1,2,0.09699999999999953,2025-06-19T15:58:08.129009,2025-06-19T15:58:28.322962,13,2.182169234517912,10.38598596924757,0.08929945447327998,0.01696762079561773,0.1
0.1,0,0.09609999999999985,2025-06-19T15:58:58.171588,2025-06-19T15:59:22.716104,5,4.657643975212899,14.29387509945853,0.09999999999999994,0.0017350034177119212,0.1
0.1,1,0.09700000000000131,2025-06-19T15:59:22.716104,2025-06-19T15:59:46.315757,5,4.657643975212899,14.29387509945853,0.09999999999999994,0.0017350034177119212,0.1
