vial_name,surfactant,target_concentration_mm,needed_for_concentrations,source_vial,source_concentration_mm,source_volume_ml,water_volume_ml,final_volume_ml,dilution_factor
SDS_dilution_0,SDS,0.0005,1.00e-04,SDS_dilution_1,0.003,1.0,5.0,6.0,6.0
SDS_dilution_1,SDS,0.003,4.67e-04,SDS_dilution_3,0.05,0.36,5.64,6.0,16.666666666666668
SDS_dilution_2,SDS,0.02,2.18e-03,SDS_dilution_4,0.30000000000000004,0.39999999999999997,5.6,6.0,15.000000000000002
SDS_dilution_3,SDS,0.05,1.02e-02,SDS_dilution_4,0.30000000000000004,0.9999999999999999,5.0,6.0,6.000000000000001
SDS_dilution_4,SDS,0.30000000000000004,4.74e-02,SDS_dilution_5,3.0,0.6000000000000001,5.4,6.0,9.999999999999998
SDS_dilution_5,SDS,3.0,2.21e-01,SDS_stock,50.0,0.36,5.64,6.0,16.666666666666668
TTAB_dilution_0,TTAB,0.0005,1.00e-04,TTAB_dilution_1,0.003,1.0,5.0,6.0,6.0
TTAB_dilution_1,TTAB,0.003,4.67e-04,TTAB_dilution_3,0.05,0.36,5.64,6.0,16.666666666666668
TTAB_dilution_2,TTAB,0.02,2.18e-03,TTAB_dilution_4,0.30000000000000004,0.39999999999999997,5.6,6.0,15.000000000000002
TTAB_dilution_3,TTAB,0.05,1.02e-02,TTAB_dilution_4,0.30000000000000004,0.9999999999999999,5.0,6.0,6.000000000000001
TTAB_dilution_4,TTAB,0.30000000000000004,4.74e-02,TTAB_dilution_5,3.0,0.6000000000000001,5.4,6.0,9.999999999999998
TTAB_dilution_5,TTAB,3.0,2.21e-01,TTAB_stock,50.0,0.36,5.64,6.0,16.666666666666668
