,rep1_CMC_Fluorescence_96,rep1_CMC_Fluorescence_96
,334_373,334_384
A1,90842.0,89963.0
A2,85681.0,84997.0
A3,774722.0,957273.0
A4,312951.0,367222.0
A5,675219.0,839181.0
A6,1441765.0,1819242.0
A7,3868446.0,4921102.0
A8,230880.0,264522.0
A9,1556929.0,1967678.0
A10,426417.0,512598.0
A11,136085.0,154793.0
A12,270874.0,354655.0
B1,195223.0,214668.0
B2,264152.0,297106.0
B3,229583.0,258907.0
B4,214711.0,240014.0
B5,214357.0,239400.0
B6,208544.0,235986.0
B7,191699.0,216074.0
B8,156728.0,188324.0
B9,179587.0,223550.0
B10,284478.0,327508.0
B11,287601.0,324578.0
B12,190620.0,208639.0
C1,198150.0,221967.0
C2,198403.0,223273.0
C3,205338.0,231997.0
C4,191733.0,215571.0
C5,151218.0,179090.0
C6,235744.0,305327.0
C7,286738.0,326786.0
C8,269400.0,303252.0
C9,229840.0,258566.0
C10,213103.0,241256.0
C11,216232.0,246069.0
C12,216833.0,245221.0
D1,181404.0,199805.0
D2,147707.0,172368.0
D3,166855.0,205137.0
D4,278780.0,316118.0
D5,282737.0,323117.0
D6,243283.0,272748.0
D7,211341.0,238866.0
D8,209711.0,237176.0
D9,198819.0,225558.0
D10,192333.0,216818.0
D11,155159.0,180745.0
D12,182394.0,222850.0
E1,243838.0,275299.0
E2,276960.0,313347.0
E3,250430.0,282774.0
E4,209527.0,234825.0
E5,201703.0,228831.0
E6,189985.0,216872.0
E7,162622.0,186249.0
E8,149350.0,179991.0
E9,191297.0,237875.0
E10,282552.0,321466.0
E11,272599.0,308680.0
E12,226234.0,252205.0
F1,219034.0,244015.0
F2,212483.0,238077.0
F3,178423.0,205253.0
F4,100966.0,119874.0
F5,67662.0,81466.0
F6,193068.0,242283.0
F7,239959.0,275610.0
F8,229084.0,262504.0
F9,212044.0,239577.0
F10,171106.0,192016.0
F11,140107.0,160074.0
F12,127329.0,145858.0
G1,68315.0,84038.0
G2,39055.0,51049.0
G3,33241.0,43407.0
G4,235778.0,301785.0
G5,259480.0,341029.0
G6,262283.0,343033.0
G7,266177.0,348402.0
G8,244526.0,314116.0
G9,265744.0,346853.0
G10,262258.0,344319.0
G11,72565.0,100704.0
G12,73441.0,108061.0
H1,239617.0,301834.0
H2,194394.0,245611.0
H3,260412.0,295093.0
H4,64103.0,58092.0
H5,64782.0,58751.0
H6,64963.0,58883.0
H7,64398.0,58181.0
H8,63896.0,58454.0
H9,66351.0,60368.0
H10,65067.0,59157.0
H11,67030.0,61025.0
H12,67122.0,61104.0
