volume_target_ml,volume_target_ul,volume_measured_ml,volume_measured_ul,deviation_pct,precision_cv_pct,duration_s,trials_count,status,measurement_count,calibration_overaspirate_vol,hardware_parameters_aspirate_speed,hardware_parameters_dispense_speed,hardware_parameters_aspirate_wait_time,hardware_parameters_post_asp_air_vol,hardware_parameters_pre_asp_air_vol
0.15,150,0.149816,149.816,0.309333333,0.513261155,29.90678428,24,success,108,0.0098,10,13,8.3,0.005,0.202
0.05,50,0.05076,50.76,1.52,1.050244518,33.6455385,3,success,7,0.007068194,10,13,8.3,0,0.159
0.03,30,0.030095333,30.09533333,1.037777778,1.370856389,33.5094072,3,success,7,0.006254054,10,13,8.3,0,0.159
