volume_target_ml,volume_target_ul,volume_measured_ml,volume_measured_ul,deviation_pct,precision_cv_pct,duration_s,trials_count,status,measurement_count,calibration_overaspirate_vol,hardware_parameters_aspirate_speed,hardware_parameters_dispense_speed,hardware_parameters_aspirate_wait_time,hardware_parameters_blowout_vol,hardware_parameters_pre_asp_air_vol
0.05,50.0,0.04971617161716205,49.71617161716205,0.5676567656759159,0.6225902330138525,29.628897099910926,19,success,43,0.0064,10,5,4.5,0.139,0.0
0.025,25.0,0.02425082508250766,24.25082508250766,2.9966996699693587,2.463668810425287,29.129799799993634,3,success,5,0.003058212086450661,10,5,4.5,0.139,0.0
0.01,10.0,0.010244224422442523,10.244224422442523,2.442244224428175,3.1781861997840832,28.73948850017041,3,success,5,0.002407341038286731,10,5,4.5,0.139,0.0
0.005,5.0,0.004924092409242111,4.924092409242111,3.762376237594189,4.411389456249273,29.896277733457584,6,success,8,0.0017000000000000001,10,5,4.5,0.3,0.056
0.002,2.0,0.002019801980197768,2.019801980197768,6.2706270626725935,7.781621503100817,29.85505236654232,24,success,35,0.0018000000000000002,10,5,4.5,0.298,0.069
