volume_target_ml,volume_target_ul,volume_measured_ml,volume_measured_ul,deviation_pct,precision_cv_pct,duration_s,trials_count,status,measurement_count,calibration_overaspirate_vol,hardware_parameters_aspirate_speed,hardware_parameters_dispense_speed,hardware_parameters_aspirate_wait_time,hardware_parameters_pre_asp_air_vol
0.05,50.0,0.050360000000000224,50.36000000000023,0.7200000000004481,0.10876142920788613,16.000094660185276,14,success,59,0.0031000000000000003,15,6,0.2,0.27
0.02,20.0,0.019960000000000023,19.960000000000022,0.6000000000008048,0.7598071587199484,15.67256495989859,3,success,7,0.0023307692307684025,15,6,0.2,0.27
0.01,10.0,0.009892000000000322,9.892000000000323,1.8800000000136659,3.0381405186113755,15.641423839703203,3,success,7,0.00194210526315684,15,6,0.2,0.27
0.005,5.0,0.004720000000000724,4.720000000000724,5.599999999985529,0.9474864311290023,15.260367179848254,8,success,20,0.0019,15,6,0.2,0.214
