volume_target_ml,volume_target_ul,volume_measured_ml,volume_measured_ul,deviation_pct,precision_cv_pct,duration_s,trials_count,status,measurement_count,calibration_overaspirate_vol,hardware_parameters_aspirate_speed,hardware_parameters_dispense_speed,hardware_parameters_aspirate_wait_time,hardware_parameters_dispense_wait_time,hardware_parameters_blowout_vol,hardware_parameters_post_asp_air_vol,hardware_parameters_pre_asp_air_vol
0.025,25.0,0.025019999999999952,25.019999999999953,0.5600000000003991,0.7688003222084036,18.745499979984015,48,success,150,0.004,10,12,0.0,4.386748062535022,0.0,0.07100000000000001,0.145
0.02,20.0,0.019679999999999965,19.679999999999964,1.6000000000001813,1.1015997656852472,18.79513670001179,3,success,7,0.007475862068965421,10,12,0.0,4.386748062535022,0.0,0.07100000000000001,0.145
0.015,15.0,0.014880000000000138,14.880000000000138,2.13333333333234,2.982841535101914,19.71676625998225,3,success,7,0.007850000000000383,10,12,0.0,4.386748062535022,0.0,0.07100000000000001,0.145
0.01,10.0,0.009940000000000282,9.940000000000282,2.1999999999997057,2.898362231567285,24.285994659992866,6,success,14,0.0085,10,12,0.0,4.386748062535022,0.052000000000000005,0.07100000000000001,0.145
0.005,5.0,0.00481999999999978,4.81999999999978,3.6000000000106533,2.705063238679837,19.28406404000707,5,success,17,0.009000000000000001,10,12,0.0,4.386748062535022,0.0,0.07100000000000001,0.145
