deviation,variability,time,aspirate_speed,dispense_speed,aspirate_wait_time,dispense_wait_time,retract_speed,pre_asp_air_vol,post_asp_air_vol,blowout_vol,volume,trial_index,strategy,norm_time,norm_deviation,norm_variability,total_score
23.77131394182496,0.0,80.89486737894087,5,21,3.330581361009872e-14,9.585485168257949e-14,10.8433928219477,0.0481730732588122,2.7935571990381503e-16,0.0387310210265844,0.01,37,BAYESIAN,0.09768104276914873,0.36206896551724493,0.0,0.2787155255277712
21.096623202941934,0.205480466765826,36.60269620344164,5,10,0.0,0.0,11.569103250256775,0.0470207462121222,0.0,0.0,0.01,40,BAYESIAN,0.007575129770295776,0.31609195402299317,0.05701927577341606,0.2796596583286245
29.455031761950647,0.0471404520785746,48.44374240798096,5,15,8.071785784919877e-15,0.0,15.0,0.0390319468412511,0.0,0.0219637455474927,0.01,29,BAYESIAN,0.03166399809183369,0.4597701149425171,0.0130811189961672,0.2877112935554267
13.741223671015106,0.1414213562365612,73.73247807061091,11,15,1.859794058862156e-14,8.633384681672363e-15,8.576617197512107,0.0457006691790597,0.0304597927694484,0.0547556599276033,0.02,55,BAYESIAN,0.05920351461576854,0.15966386554622197,0.020464134682678565,0.17996371675423664
13.072550986289896,0.0942809041579866,96.1144205341467,9,17,1.2557823654116466e-13,7.813425875940978e-13,3.8286088341239104,0.0454398480948794,0.0605612795396043,1.5969234189573265e-15,0.02,49,BAYESIAN,0.09518355400820103,0.14285714285703593,0.010232067341293852,0.1870762601193067
19.759277833503404,0.0816496580933075,64.85530176073972,6,10,1.0614862739292965e-12,1.0379526022116377e-12,14.999999999999966,0.0596162591154535,0.0175794622482015,0.0450032070944762,0.02,63,BAYESIAN,0.04493303054839611,0.31092436974792614,0.00749039316040201,0.2153760017431632
5.7840187228338245,0.2867441755688647,52.82114550849128,5,13,0.0,0.0,15.0,1.1490555341293304e-17,0.0106155887578972,0.0081393760081072,0.05,74,BAYESIAN,0.024198242527213965,0.0,0.039201896406733217,0.1026020353406804
6.720160481444372,0.1632993161851646,71.81355511966748,5,5,0.0,0.0,15.0,0.0999999999998504,0.0079522154176678,0.0999999999998651,0.05,89,BAYESIAN,0.05833758389152743,0.0388888888889431,0.019004912323866745,0.11579185298373247
9.461718488799317,0.0471404520798306,64.50695812886114,5,15,0.0,0.0,9.76290846347915,0.0,0.0496623144594598,0.0479616729241734,0.05,82,BAYESIAN,0.04520378918157039,0.1527777777778031,0.0,0.12159267807047194
2.3069207622864947,0.1414213562369799,60.345328722058426,5,5,5.696664276959304e-15,1.847110505522331e-14,15.0,0.0664040210930773,0.0,0.0,0.1,102,BAYESIAN,0.045500659833250634,0.08940397350990512,0.012751196321841641,0.11570503923188648
0.969575392844984,0.4496912521073889,54.72355337796403,5,8,3.0596876113986216e-08,1.1055355620773839e-07,7.073187268420262,0.0297595354095007,4.316987681984952e-11,2.4733691146766475e-11,0.1,127,BAYESIAN,0.03474490918108162,0.0231788079469961,0.05444373202083055,0.15522177719624075
5.282514209294971,0.1699673171201762,43.61335274660741,5,6,0.0,3.095374275186038e-14,14.99999999999994,0.0454771148597422,0.1,0.0,0.1,109,BAYESIAN,0.013488537239436113,0.2367549668874329,0.016611947920125898,0.16508991652340435
