volume,metric,first_half,second_half,improvement_pct
0.01,deviation,36.51788699431538,25.313440320965285,30.68207827877406
0.01,time,195.5379479576947,102.70340105924842,47.47648621050854
0.01,variability,0.504769364191214,0.9128424739787472,-80.84347797956873
0.02,deviation,24.5862587763288,18.83985289200976,23.372429032804195
0.02,time,182.8003909465432,75.34338424032757,58.78379479923518
0.02,variability,0.8378342202333124,0.737133167819491,12.019209765122643
0.05,deviation,10.159645603476765,9.862922099632144,2.9206088029594115
0.05,time,202.64735258493124,140.86138071524596,30.489404910330748
0.05,variability,0.6585104098875922,0.7548928043589792,-14.636426854336204
0.1,deviation,3.537696422601317,5.677449013707776,-60.484347312454524
0.1,time,214.79582113494487,158.0398056989735,26.42324005005412
0.1,variability,0.5720253558779924,1.2492141163581296,-118.3843956428699
