,well_position,turbidity_600
0,A1,0.0386
1,A2,0.0393
2,A3,0.0388
3,A4,0.0388
4,A5,0.039
5,A6,0.0381
6,A7,0.0388
7,A8,0.0388
8,A9,0.0382
9,A10,0.038
10,A11,0.0392
11,A12,0.0383
12,B1,0.0387
13,B2,0.0389
14,B3,0.0387
15,B4,0.039
16,B5,0.4307
17,B6,0.0386
18,B7,0.0393
19,B8,0.0401
20,B9,0.0392
21,B10,0.0382
22,B11,0.0387
23,B12,0.0387
24,C1,0.0824
25,C2,0.041
26,C3,0.0388
27,C4,0.0388
28,C5,0.0404
29,C6,0.5053
30,C7,0.063
31,C8,0.0387
32,C9,0.0386
33,C10,0.039
34,C11,3.0155
