wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate
69,experiment,experiment,SDS,TTAB,4.821250571423044,0.010164088650723414,SDS_stock,50.0,19.285002285692176,TTAB_dilution_2,0.15000000000000002,13.552118200964552,167.16287951334328,0.0,,5,1
70,experiment,experiment,SDS,TTAB,4.821250571423044,0.0474341649025257,SDS_stock,50.0,19.285002285692176,TTAB_dilution_1,0.7000000000000001,13.55261854357877,167.16237917072905,0.0,,5,1
71,experiment,experiment,SDS,TTAB,4.821250571423044,0.2213676087762045,SDS_stock,50.0,19.285002285692176,TTAB_dilution_1,0.7000000000000001,63.247888221772705,117.46710949253512,0.0,,5,1
72,experiment,experiment,SDS,TTAB,4.821250571423044,1.033086980997645,SDS_stock,50.0,19.285002285692176,TTAB_dilution_0,5.0,41.32347923990581,139.391518474402,0.0,,5,1
73,experiment,experiment,SDS,TTAB,4.821250571423044,4.821250571423044,SDS_stock,50.0,19.285002285692176,TTAB_stock,50.0,19.285002285692176,161.42999542861565,0.0,,5,1
74,experiment,experiment,SDS,TTAB,4.821250571423044,22.5,SDS_stock,50.0,19.285002285692176,TTAB_stock,50.0,90.0,90.71499771430783,0.0,,5,1
75,experiment,experiment,SDS,TTAB,22.5,0.0001,SDS_stock,50.0,90.0,TTAB_dilution_5,0.0005,40.0,70.0,0.0,,5,1
76,experiment,experiment,SDS,TTAB,22.5,0.0004666838959452567,SDS_stock,50.0,90.0,TTAB_dilution_4,0.003,31.112259729683778,78.88774027031621,0.0,,5,1
77,experiment,experiment,SDS,TTAB,22.5,0.002177938587346432,SDS_stock,50.0,90.0,TTAB_dilution_3,0.02,21.779385873464317,88.22061412653568,0.0,,5,1
78,experiment,experiment,SDS,TTAB,22.5,0.010164088650723414,SDS_stock,50.0,90.0,TTAB_dilution_2,0.15000000000000002,13.552118200964552,96.44788179903544,0.0,,5,1
79,experiment,experiment,SDS,TTAB,22.5,0.0474341649025257,SDS_stock,50.0,90.0,TTAB_dilution_1,0.7000000000000001,13.55261854357877,96.44738145642123,0.0,,5,1
80,experiment,experiment,SDS,TTAB,22.5,0.2213676087762045,SDS_stock,50.0,90.0,TTAB_dilution_1,0.7000000000000001,63.247888221772705,46.75211177822729,0.0,,5,1
81,experiment,experiment,SDS,TTAB,22.5,1.033086980997645,SDS_stock,50.0,90.0,TTAB_dilution_0,5.0,41.32347923990581,68.6765207600942,0.0,,5,1
82,experiment,experiment,SDS,TTAB,22.5,4.821250571423044,SDS_stock,50.0,90.0,TTAB_stock,50.0,19.285002285692176,90.71499771430783,0.0,,5,1
83,experiment,experiment,SDS,TTAB,22.5,22.5,SDS_stock,50.0,90.0,TTAB_stock,50.0,90.0,20.0,0.0,,5,1
84,control,surfactant_A_stock,SDS,TTAB,50.0,,SDS_stock,50.0,200.0,,,0.0,0.0,0.0,,5,1
85,control,surfactant_B_stock,SDS,TTAB,,50.0,,,0.0,TTAB_stock,50.0,200.0,0.0,0.0,,5,1
86,control,water_blank,SDS,TTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1
