,well_position,turbidity_600
0,A1,0.5562
1,A2,0.0382
2,A3,0.0384
3,A4,2.7574
4,A5,0.0384
5,A6,0.3283
6,A7,1.9966
7,A8,0.0381
8,A9,0.0398
9,A10,2.2142
10,A11,0.2259
11,A12,0.0745
