,well_position,334_373,334_384
0,A1,235898.0,302349.0
1,A2,187609.0,234407.0
2,A3,248625.0,281210.0
3,A4,281764.0,322194.0
4,A5,333829.0,384843.0
5,A6,289488.0,332546.0
6,A7,289243.0,330941.0
7,A8,274946.0,314491.0
8,A9,262575.0,299638.0
9,A10,228493.0,260091.0
10,A11,145797.0,163539.0
11,A12,200161.0,246937.0
12,B1,325553.0,373676.0
13,B2,357476.0,411824.0
14,B3,322520.0,369066.0
15,B4,301777.0,342512.0
16,B5,300261.0,342401.0
17,B6,292195.0,335578.0
18,B7,246267.0,280727.0
19,B8,148781.0,169130.0
20,B9,196496.0,245209.0
21,B10,363620.0,416616.0
22,B11,404580.0,464015.0
23,B12,306744.0,349642.0
24,C1,273263.0,311613.0
25,C2,295153.0,336814.0
26,C3,292017.0,332717.0
27,C4,244324.0,277309.0
28,C5,165200.0,193003.0
29,C6,188449.0,231363.0
30,C7,422312.0,487401.0
31,C8,349334.0,399667.0
32,C9,335622.0,383503.0
33,C10,270981.0,310706.0
34,C11,270907.0,307100.0
35,C12,281672.0,322417.0
36,D1,232175.0,263161.0
37,D2,150892.0,168585.0
38,D3,193403.0,235855.0
39,D4,363423.0,416005.0
40,D5,426959.0,490739.0
41,D6,327416.0,372853.0
42,D7,299252.0,344511.0
43,D8,248864.0,285914.0
44,D9,259454.0,295419.0
45,D10,233376.0,266593.0
46,D11,160121.0,179557.0
47,D12,213221.0,264535.0
48,E1,336019.0,382843.0
49,E2,347870.0,398976.0
50,E3,329607.0,373079.0
51,E4,336362.0,384717.0
52,E5,286983.0,332262.0
53,E6,180091.0,208782.0
54,E7,206384.0,235946.0
55,E8,162533.0,184521.0
56,E9,213604.0,265538.0
57,E10,340935.0,392747.0
58,E11,357092.0,413918.0
59,E12,287115.0,327461.0
60,F1,255794.0,288113.0
61,F2,286453.0,330185.0
62,F3,228191.0,264207.0
63,F4,61476.0,74084.0
64,F5,87419.0,99152.0
65,F6,200051.0,246960.0
66,F7,283151.0,329610.0
67,F8,251844.0,290872.0
68,F9,263443.0,302389.0
69,F10,250620.0,287230.0
70,F11,182595.0,205871.0
71,F12,185487.0,210205.0
72,G1,128187.0,149400.0
73,G2,18864.0,22642.0
74,G3,19903.0,24741.0
75,G4,853169.0,1133361.0
76,G5,262267.0,333028.0
77,G6,250735.0,317281.0
78,G7,254398.0,320705.0
79,G8,273309.0,346350.0
80,G9,267613.0,338498.0
81,G10,272470.0,345363.0
82,G11,30664.0,39083.0
83,G12,22747.0,30782.0
84,H1,248313.0,310630.0
85,H2,207440.0,257585.0
86,H3,320536.0,368596.0
