wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate,turbidity_600,fluorescence_334_373,fluorescence_334_384,ratio
30,experiment,experiment,SDS,DTAB,0.474341649025257,0.06887246539984299,SDS_dilution_2,1.5,63.2455532033676,DTAB_dilution_3,0.7000000000000001,19.677847257097994,117.07659953953441,0.0,,5,1,0.0491,128723.0,142273.0,0.9047605659541866
31,experiment,experiment,SDS,DTAB,0.474341649025257,0.474341649025257,SDS_dilution_2,1.5,63.2455532033676,DTAB_dilution_1,4.0,23.71708245126285,113.03736434536955,0.0,,5,1,0.544,59500.0,74203.0,0.8018543724647251
32,experiment,experiment,SDS,DTAB,0.474341649025257,3.266907881019648,SDS_dilution_2,1.5,63.2455532033676,DTAB_stock,50.0,13.067631524078593,123.68681527255382,0.0,,5,1,0.0376,270781.0,308710.0,0.8771371189789771
33,experiment,experiment,SDS,DTAB,0.474341649025257,22.5,SDS_dilution_2,1.5,63.2455532033676,DTAB_stock,50.0,90.0,46.75444679663241,0.0,,5,1,0.038,194383.0,240168.0,0.8093626128376803
34,experiment,experiment,SDS,DTAB,3.266907881019648,0.01,SDS_dilution_0,10.0,65.33815762039296,DTAB_dilution_5,0.1,20.0,114.66184237960704,0.0,,5,1,0.0379,157368.0,174147.0,0.9036503643473617
35,experiment,experiment,SDS,DTAB,3.266907881019648,0.06887246539984299,SDS_dilution_0,10.0,65.33815762039296,DTAB_dilution_3,0.7000000000000001,19.677847257097994,114.98399512250904,0.0,,5,1,0.0385,137018.0,152579.0,0.898013488094692
36,experiment,experiment,SDS,DTAB,3.266907881019648,0.474341649025257,SDS_dilution_0,10.0,65.33815762039296,DTAB_dilution_1,4.0,23.71708245126285,110.94475992834418,0.0,,5,1,0.0441,138269.0,160957.0,0.8590430984672925
37,experiment,experiment,SDS,DTAB,3.266907881019648,3.266907881019648,SDS_dilution_0,10.0,65.33815762039296,DTAB_stock,50.0,13.067631524078593,121.59421085552844,0.0,,5,1,0.0386,233410.0,267341.0,0.87307969970936
38,experiment,experiment,SDS,DTAB,3.266907881019648,22.5,SDS_dilution_0,10.0,65.33815762039296,DTAB_stock,50.0,90.0,44.66184237960704,0.0,,5,1,0.088,187389.0,234378.0,0.7995161661930728
39,experiment,experiment,SDS,DTAB,22.5,0.01,SDS_stock,50.0,90.0,DTAB_dilution_5,0.1,20.0,90.0,0.0,,5,1,0.0388,227877.0,291533.0,0.7816507908195641
40,experiment,experiment,SDS,DTAB,22.5,0.06887246539984299,SDS_stock,50.0,90.0,DTAB_dilution_3,0.7000000000000001,19.677847257097994,90.322152742902,0.0,,5,1,0.0383,240503.0,309978.0,0.7758711908587062
41,experiment,experiment,SDS,DTAB,22.5,0.474341649025257,SDS_stock,50.0,90.0,DTAB_dilution_1,4.0,23.71708245126285,86.28291754873715,0.0,,5,1,0.0384,279285.0,367651.0,0.7596470565835535
42,experiment,experiment,SDS,DTAB,22.5,3.266907881019648,SDS_stock,50.0,90.0,DTAB_stock,50.0,13.067631524078593,96.93236847592141,0.0,,5,1,0.038,265033.0,349612.0,0.7580775259430454
43,experiment,experiment,SDS,DTAB,22.5,22.5,SDS_stock,50.0,90.0,DTAB_stock,50.0,90.0,20.0,0.0,,5,1,2.1677,87367.0,128328.0,0.680810111589053
44,experiment,experiment,SDS,DTAB,11.825893809444274,11.825893809444274,SDS_stock,50.0,47.303575237777096,DTAB_stock,50.0,47.303575237777096,105.39284952444581,0.0,,5,1,2.1219,51196.0,72546.0,0.7057039671380917
45,experiment,experiment,SDS,DTAB,0.2493117320341944,0.2493117320341944,SDS_dilution_3,0.7000000000000001,71.23192343834125,DTAB_dilution_3,0.7000000000000001,71.23192343834125,57.53615312331749,0.0,,5,1,0.1109,174220.0,198436.0,0.8779656917091657
46,experiment,experiment,SDS,DTAB,0.2493117320341944,0.9024846049729427,SDS_dilution_3,0.7000000000000001,71.23192343834125,DTAB_dilution_1,4.0,45.12423024864714,83.64384631301161,0.0,,5,1,0.0853,135194.0,150161.0,0.9003269823722537
47,experiment,experiment,SDS,DTAB,0.9024846049729427,0.9024846049729427,SDS_dilution_1,4.0,45.12423024864714,DTAB_dilution_1,4.0,45.12423024864714,109.75153950270573,0.0,,5,1,0.8774,58577.0,73831.0,0.7933930191924802
48,experiment,experiment,SDS,DTAB,0.9024846049729427,0.2493117320341944,SDS_dilution_1,4.0,45.12423024864714,DTAB_dilution_3,0.7000000000000001,71.23192343834125,83.64384631301161,0.0,,5,1,0.0539,153671.0,178610.0,0.8603717596999049
49,experiment,experiment,SDS,DTAB,11.825893809444274,0.019026046033012136,SDS_stock,50.0,47.303575237777096,DTAB_dilution_5,0.1,38.05209206602427,114.64433269619863,0.0,,5,1,0.0403,293037.0,377911.0,0.7754127294521727
50,experiment,experiment,SDS,DTAB,6.215633972988997,0.13103706971044488,SDS_stock,50.0,24.86253589195599,DTAB_dilution_4,0.30000000000000004,87.35804647362991,87.7794176344141,0.0,,5,1,0.0403,154838.0,180422.0,0.8581991109731629
51,experiment,experiment,SDS,DTAB,6.215633972988997,1.7170713638299984,SDS_stock,50.0,24.86253589195599,DTAB_dilution_1,4.0,85.85356819149992,89.2838959165441,0.0,,5,1,0.0519,186782.0,241263.0,0.7741841890385182
52,experiment,experiment,SDS,DTAB,1.7170713638299984,6.215633972988997,SDS_dilution_1,4.0,85.85356819149992,DTAB_stock,50.0,24.86253589195599,89.2838959165441,0.0,,5,1,0.0394,290466.0,335025.0,0.8669979852249832
53,experiment,experiment,SDS,DTAB,0.019026046033012136,11.825893809444274,SDS_dilution_5,0.1,38.05209206602427,DTAB_stock,50.0,47.303575237777096,114.64433269619863,0.0,,5,1,0.0393,142047.0,158330.0,0.8971578349017874
54,experiment,experiment,SDS,DTAB,0.2493117320341944,11.825893809444274,SDS_dilution_3,0.7000000000000001,71.23192343834125,DTAB_stock,50.0,47.303575237777096,81.46450132388165,0.0,,5,1,0.0391,147780.0,173220.0,0.8531347419466574
55,experiment,experiment,SDS,DTAB,0.0361990427650297,1.7170713638299984,SDS_dilution_5,0.1,72.39808553005939,DTAB_dilution_1,4.0,85.85356819149992,41.74834627844069,0.0,,5,1,0.0379,153595.0,173455.0,0.885503444697472
56,experiment,experiment,SDS,DTAB,0.0361990427650297,0.13103706971044488,SDS_dilution_5,0.1,72.39808553005939,DTAB_dilution_4,0.30000000000000004,87.35804647362991,40.24386799631071,0.0,,5,1,0.0457,207065.0,234324.0,0.883669619842611
57,experiment,experiment,SDS,DTAB,0.13103706971044488,0.0361990427650297,SDS_dilution_4,0.30000000000000004,87.35804647362991,DTAB_dilution_5,0.1,72.39808553005939,40.24386799631071,0.0,,5,1,0.0436,222355.0,256330.0,0.8674560137322982
58,experiment,experiment,SDS,DTAB,9.543722299657516,5.016135398336671,SDS_stock,50.0,38.17488919863006,DTAB_stock,50.0,20.064541593346686,141.76056920802324,0.0,,5,1,0.4403,103213.0,141641.0,0.7286943752162156
59,experiment,experiment,SDS,DTAB,5.016135398336671,9.543722299657516,SDS_stock,50.0,20.064541593346686,DTAB_stock,50.0,38.17488919863006,141.76056920802324,0.0,,5,1,0.038,225890.0,256618.0,0.8802578151181912
60,experiment,experiment,SDS,DTAB,1.118293970419831,2.1276712559647617,SDS_dilution_1,4.0,55.91469852099154,DTAB_dilution_0,10.0,42.553425119295234,101.53187635971322,0.0,,5,1,0.836,37302.0,46420.0,0.8035760448082723
61,experiment,experiment,SDS,DTAB,2.1276712559647617,1.118293970419831,SDS_dilution_0,10.0,42.553425119295234,DTAB_dilution_1,4.0,55.91469852099154,101.53187635971322,0.0,,5,1,0.1958,87275.0,102470.0,0.851712696398946
62,experiment,experiment,SDS,DTAB,18.157929979956837,9.543722299657516,SDS_stock,50.0,72.63171991982735,DTAB_stock,50.0,38.17488919863006,89.1933908815426,0.0,,5,1,0.5388,115170.0,165736.0,0.6949003234058986
63,experiment,experiment,SDS,DTAB,0.474341649025257,1.3857094042228488,SDS_dilution_2,1.5,63.2455532033676,DTAB_dilution_1,4.0,69.28547021114244,67.46897658548997,0.0,,5,1,0.1286,141200.0,163607.0,0.8630437572964482
64,experiment,experiment,SDS,DTAB,9.543722299657516,18.157929979956837,SDS_stock,50.0,38.17488919863006,DTAB_stock,50.0,72.63171991982735,89.1933908815426,0.0,,5,1,1.0304,53402.0,70860.0,0.7536268698842788
65,experiment,experiment,SDS,DTAB,1.3857094042228488,0.474341649025257,SDS_dilution_1,4.0,69.28547021114244,DTAB_dilution_2,1.5,63.2455532033676,67.46897658548997,0.0,,5,1,0.0677,138129.0,158618.0,0.8708280270839375
66,experiment,experiment,SDS,DTAB,5.016135398336671,0.02357570693439752,SDS_stock,50.0,20.064541593346686,DTAB_dilution_5,0.1,47.15141386879503,132.78404453785828,0.0,,5,1,0.038,159876.0,177700.0,0.8996961170512099
67,experiment,experiment,SDS,DTAB,7.701966278459283,0.7283223228927866,SDS_stock,50.0,30.807865113837135,DTAB_dilution_1,4.0,36.41611614463933,132.77601874152353,0.0,,5,1,0.0391,200200.0,251223.0,0.7969015575803171
68,experiment,experiment,SDS,DTAB,7.701966278459283,0.3089291553035667,SDS_stock,50.0,30.807865113837135,DTAB_dilution_3,0.7000000000000001,88.26547294387619,80.92666194228667,0.0,,5,1,0.0385,165092.0,194928.0,0.8469383567265862
69,experiment,experiment,SDS,DTAB,14.653796495867347,0.16237170601161321,SDS_stock,50.0,58.61518598346939,DTAB_dilution_3,0.7000000000000001,46.39191600331805,94.99289801321257,0.0,,5,1,0.0389,275071.0,351697.0,0.7821249541508742
70,experiment,experiment,SDS,DTAB,0.7283223228927866,0.474341649025257,SDS_dilution_1,4.0,36.41611614463933,DTAB_dilution_2,1.5,63.2455532033676,100.33833065199306,0.0,,5,1,0.1226,129042.0,143786.0,0.8974587233805795
71,experiment,experiment,SDS,DTAB,6.215633972988997,0.055581395745659956,SDS_stock,50.0,24.86253589195599,DTAB_dilution_4,0.30000000000000004,37.054263830439965,138.08320027760405,0.0,,5,1,0.0383,168386.0,193562.0,0.8699331480352549
72,experiment,experiment,SDS,DTAB,8.272567887942381,8.272567887942381,SDS_stock,50.0,33.090271551769526,DTAB_stock,50.0,33.090271551769526,133.81945689646096,0.0,,5,1,2.1986,56493.0,81051.0,0.6970055890735463
73,experiment,experiment,SDS,DTAB,5.38775672569577,5.38775672569577,SDS_stock,50.0,21.55102690278308,DTAB_stock,50.0,21.55102690278308,156.89794619443384,0.0,,5,1,2.041,45783.0,64566.0,0.7090883746863674
74,experiment,experiment,SDS,DTAB,5.38775672569577,15.739425744720974,SDS_stock,50.0,21.55102690278308,DTAB_stock,50.0,62.95770297888389,115.49127011833303,0.0,,5,1,0.399,86494.0,117728.0,0.7346935308507747
75,experiment,experiment,SDS,DTAB,5.786909688463661,3.0415724204718004,SDS_stock,50.0,23.147638753854643,DTAB_dilution_0,10.0,60.83144840943601,116.02091283670936,0.0,,5,1,0.2374,115005.0,152645.0,0.7534147859412362
76,experiment,experiment,SDS,DTAB,0.9693453454012032,3.5089373612260633,SDS_dilution_1,4.0,48.46726727006016,DTAB_dilution_0,10.0,70.17874722452126,81.35398550541858,0.0,,5,1,0.1944,98845.0,113682.0,0.8694868140954592
77,experiment,experiment,SDS,DTAB,1.8442809163489342,3.5089373612260633,SDS_dilution_0,10.0,36.88561832697869,DTAB_dilution_0,10.0,70.17874722452126,92.93563444850005,0.0,,5,1,0.482,48581.0,57444.0,0.8457106051110647
78,experiment,experiment,SDS,DTAB,1.9809148123127298,1.9809148123127303,SDS_dilution_0,10.0,39.618296246254594,DTAB_dilution_0,10.0,39.61829624625461,120.7634075074908,0.0,,5,1,0.7898,85005.0,114225.0,0.7441891004596192
79,experiment,experiment,SDS,DTAB,0.6313150855877988,2.1276712559647617,SDS_dilution_2,1.5,84.17534474503984,DTAB_dilution_0,10.0,42.553425119295234,73.27123013566492,0.0,,5,1,0.1192,123373.0,144046.0,0.856483345597934
80,experiment,experiment,SDS,DTAB,20.94805912900607,8.885442624179527,SDS_stock,50.0,83.79223651602427,DTAB_stock,50.0,35.54177049671811,80.66599298725762,0.0,,5,1,0.0631,229676.0,306646.0,0.7489939539403743
81,experiment,experiment,SDS,DTAB,15.739425744720974,5.38775672569577,SDS_stock,50.0,62.95770297888389,DTAB_stock,50.0,21.55102690278308,115.49127011833303,0.0,,5,1,0.0446,234205.0,304750.0,0.7685151763740771
82,experiment,experiment,SDS,DTAB,11.010201012159355,3.0415724204718004,SDS_stock,50.0,44.04080404863742,DTAB_dilution_0,10.0,60.83144840943601,95.12774754192657,0.0,,5,1,0.0547,238001.0,307110.0,0.7749698804988441
83,experiment,experiment,SDS,DTAB,8.885442624179527,20.94805912900607,SDS_stock,50.0,35.54177049671811,DTAB_stock,50.0,83.79223651602427,80.66599298725762,0.0,,5,1,0.502,71652.0,92051.0,0.7783945856101508
84,experiment,experiment,SDS,DTAB,9.543722299657516,0.012391280297278404,SDS_stock,50.0,38.17488919863006,DTAB_dilution_5,0.1,24.782560594556806,137.04255020681313,0.0,,5,1,0.039,263181.0,328968.0,0.8000200627416648
85,experiment,experiment,SDS,DTAB,1.3857094042228488,0.7822802181418721,SDS_dilution_1,4.0,69.28547021114244,DTAB_dilution_1,4.0,39.11401090709361,91.60051888176395,0.0,,5,1,0.1237,111575.0,132081.0,0.8447467841703197
86,experiment,experiment,SDS,DTAB,3.593534824796529,6.837075899781095,SDS_dilution_0,10.0,71.87069649593057,DTAB_stock,50.0,27.34830359912438,100.78099990494505,0.0,,5,1,0.038,219896.0,251554.0,0.8741502818480327
87,experiment,experiment,SDS,DTAB,3.1149021170577456,4.782739930472263,SDS_dilution_0,10.0,62.298042341154904,DTAB_stock,50.0,19.130959721889052,118.57099793695605,0.0,,5,1,1.5825,44943.0,63883.0,0.7035204984111579
88,experiment,experiment,SDS,DTAB,3.42633145504727,2.2315006164289666,SDS_dilution_0,10.0,68.5266291009454,DTAB_dilution_0,10.0,44.630012328579326,86.84335857047527,0.0,,5,1,0.2902,60783.0,74019.0,0.8211810481092693
89,experiment,experiment,SDS,DTAB,4.6701467077092,3.7688976406537598,SDS_stock,50.0,18.6805868308368,DTAB_dilution_0,10.0,75.3779528130752,105.941460356088,0.0,,5,1,1.1585,71679.0,99781.0,0.7183632154418176
90,experiment,experiment,SDS,DTAB,6.0693081700584335,7.520649874575589,SDS_stock,50.0,24.277232680233734,DTAB_stock,50.0,30.082599498302358,145.6401678214639,0.0,,5,1,2.1218,72007.0,105753.0,0.6808979414295575
91,experiment,experiment,SDS,DTAB,6.0693081700584335,10.751003557719102,SDS_stock,50.0,24.277232680233734,DTAB_stock,50.0,43.00401423087641,132.71875308888986,0.0,,5,1,1.5773,31495.0,43345.0,0.7266120659822356
92,experiment,experiment,SDS,DTAB,13.321869856073466,7.520649874575589,SDS_stock,50.0,53.28747942429386,DTAB_stock,50.0,30.082599498302358,116.62992107740378,0.0,,5,1,0.2609,119191.0,166542.0,0.7156813296345667
93,experiment,experiment,SDS,DTAB,0.48577761844915907,9.773813240719463,SDS_dilution_2,1.5,64.77034912655454,DTAB_stock,50.0,39.09525296287785,96.13439791056761,0.0,,5,1,0.044,162100.0,198115.0,0.8182116447517855
94,experiment,experiment,SDS,DTAB,0.04485524853946506,9.543722299657516,SDS_dilution_5,0.1,89.71049707893012,DTAB_stock,50.0,38.17488919863006,72.11461372243983,0.0,,5,1,0.0385,148454.0,164536.0,0.9022584723100112
95,experiment,experiment,SDS,DTAB,0.9242427330420707,7.887654064984848,SDS_dilution_1,4.0,46.21213665210354,DTAB_stock,50.0,31.550616259939392,122.23724708795707,0.0,,5,1,0.0633,156378.0,188194.0,0.8309404125530038
0,experiment,experiment,SDS,DTAB,2.144634430162101,4.7073801439874385,SDS_dilution_0,10.0,42.89268860324202,DTAB_stock,50.0,18.829520575949754,138.2777908208082,0.0,,5,1,1.3644,57712.0,81876.0,0.7048707802042112
1,experiment,experiment,SDS,DTAB,2.67866376198683,5.879551511556407,SDS_dilution_0,10.0,53.573275239736596,DTAB_stock,50.0,23.51820604622563,122.90851871403777,0.0,,5,1,0.3724,60565.0,69811.0,0.8675566887739754
2,experiment,experiment,SDS,DTAB,0.3089291553035666,0.474341649025257,SDS_dilution_3,0.7000000000000001,88.26547294387618,DTAB_dilution_2,1.5,63.2455532033676,48.48897385275623,0.0,,5,1,0.2737,119829.0,157462.0,0.761002654608731
3,experiment,experiment,SDS,DTAB,0.474341649025257,0.3089291553035666,SDS_dilution_2,1.5,63.2455532033676,DTAB_dilution_3,0.7000000000000001,88.26547294387618,48.48897385275623,0.0,,5,1,0.166,121512.0,132538.0,0.9168087642789238
4,experiment,experiment,SDS,DTAB,4.898047679053379,6.518953998808678,SDS_stock,50.0,19.592190716213516,DTAB_stock,50.0,26.075815995234713,154.33199328855176,0.0,,5,1,1.837,59408.0,85126.0,0.6978831379367056
5,experiment,experiment,SDS,DTAB,11.82589380944428,0.04176135105115456,SDS_stock,50.0,47.30357523777711,DTAB_dilution_5,0.1,83.52270210230913,69.17372265991378,0.0,,5,1,0.0378,267303.0,346229.0,0.772041047976917
6,experiment,experiment,SDS,DTAB,2.285300178140111,2.8317795070754386,SDS_dilution_0,10.0,45.70600356280222,DTAB_dilution_0,10.0,56.63559014150877,97.658406295689,0.0,,5,1,0.6895,129629.0,169663.0,0.7640381226313339
7,experiment,experiment,SDS,DTAB,0.38280277553679454,0.8402355941329283,SDS_dilution_2,1.5,51.0403700715726,DTAB_dilution_1,4.0,42.011779706646415,106.94785022178098,0.0,,5,1,0.113,147883.0,170024.0,0.8697772079235873
8,experiment,experiment,SDS,DTAB,7.170722000478928,0.029213319283060982,SDS_stock,50.0,28.682888001915714,DTAB_dilution_5,0.1,58.42663856612196,112.89047343196233,0.0,,5,1,0.0379,176183.0,205843.0,0.8559096010065924
9,experiment,experiment,SDS,DTAB,4.6701467077092005,1.118293970419831,SDS_stock,50.0,18.680586830836802,DTAB_dilution_1,4.0,55.91469852099154,125.40471464817165,0.0,,5,1,0.0472,173080.0,217277.0,0.796586845363292
