,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index,ratio
0,H1,106024.0,126644.0,84,0.8371813903540634
1,H2,75589.0,94402.0,85,0.8007139679244084
2,H3,86847.0,101302.0,86,0.8573078517699552
3,H4,136393.0,159293.0,87,0.8562397594370122
4,H5,32261.0,36599.0,88,0.8814721713708025
5,H6,154182.0,175977.0,89,0.8761485875995159
6,H7,176184.0,217282.0,90,0.8108540974401929
7,H8,121888.0,157309.0,91,0.7748317006655691
8,H9,195631.0,225235.0,92,0.8685639443248163
9,H10,65557.0,92733.0,93,0.7069435907390034
10,H11,39840.0,52104.0,94,0.7646245969599264
11,H12,172486.0,188258.0,95,0.9162213557989568
