,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index,ratio
0,C5,148539.0,167273.0,28,0.8880034434726465
1,C6,77086.0,94328.0,29,0.8172122805529641
2,C7,68613.0,97963.0,30,0.7003970886967529
3,C8,82221.0,97817.0,31,0.8405594119631556
4,C9,222596.0,267210.0,32,0.833037685715355
5,C10,56328.0,71028.0,33,0.7930393647575604
6,C11,88681.0,98689.0,34,0.8985905217400115
7,C12,75989.0,100361.0,35,0.7571566644413666
8,D1,136283.0,150445.0,36,0.9058659310711555
9,D2,35246.0,44237.0,37,0.7967538485882858
10,D3,140701.0,158443.0,38,0.8880228220874384
11,D4,248867.0,305376.0,39,0.814952714031227
12,D5,118814.0,137723.0,40,0.8627026713039943
13,D6,142600.0,161153.0,41,0.884873381196751
