,well_position,turbidity_600,wellplate_index
0,B3,0.0766,14
1,B4,0.0739,15
2,B5,1.3117,16
3,B6,1.3478,17
4,B7,0.0379,18
5,B8,0.9947,19
6,B9,0.2142,20
7,B10,1.469,21
8,B11,0.0622,22
9,B12,0.0397,23
10,C1,0.0389,24
11,C2,0.0384,25
12,C3,0.2571,26
13,C4,0.0876,27
