,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index,ratio
0,E9,42209.0,51705.0,56,0.8163427134706508
1,E10,80323.0,103428.0,57,0.7766078818115018
2,E11,80965.0,94742.0,58,0.8545840282029089
3,E12,137755.0,150567.0,59,0.9149083132426096
4,F1,111728.0,145238.0,60,0.7692752585411532
5,F2,156995.0,202211.0,61,0.7763919865882667
6,F3,151848.0,174351.0,62,0.8709327735430252
7,F4,149617.0,175192.0,63,0.8540173067263346
8,F5,152514.0,176172.0,64,0.8657107826442341
9,F6,91174.0,99200.0,65,0.9190927419354838
10,F7,118664.0,137950.0,66,0.8601957230880753
11,F8,76008.0,95897.0,67,0.7926003941729147
12,F9,57668.0,82240.0,68,0.701215953307393
13,F10,217262.0,278899.0,69,0.7789988490457119
