,well_position,turbidity_600,wellplate_index
0,A1,0.0394,0
1,A2,0.0385,1
2,A3,0.0396,2
3,A4,0.0392,3
4,A5,0.0389,4
5,A6,0.038,5
6,A7,0.0388,6
7,A8,0.0383,7
8,A9,0.038,8
9,A10,0.0376,9
10,A11,0.0388,10
11,A12,0.0374,11
12,B1,0.0386,12
13,B2,0.0376,13
14,B3,0.0374,14
15,B4,0.038,15
16,B5,0.0378,16
17,B6,0.0373,17
18,B7,0.037,18
19,B8,0.0379,19
20,B9,0.039,20
21,B10,0.0389,21
22,B11,0.0378,22
23,B12,0.0391,23
24,C1,0.0393,24
25,C2,0.0432,25
26,C3,0.0479,26
27,C4,0.039,27
28,C5,0.039,28
29,C6,0.0403,29
30,C7,0.0491,30
31,C8,0.544,31
32,C9,0.0376,32
33,C10,0.038,33
34,C11,0.0379,34
35,C12,0.0385,35
36,D1,0.0441,36
37,D2,0.0386,37
38,D3,0.088,38
39,D4,0.0388,39
40,D5,0.0383,40
41,D6,0.0384,41
42,D7,0.038,42
43,D8,2.1677,43
