,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,202601.0,260980.0,0
1,A2,174947.0,226260.0,1
2,A3,109658.0,112368.0,2
3,A4,171666.0,195283.0,3
4,A5,172930.0,198180.0,4
5,A6,193245.0,243288.0,5
6,A7,181630.0,230040.0,6
7,A8,255556.0,340110.0,7
8,A9,209114.0,270573.0,8
9,A10,208591.0,269254.0,9
10,A11,138455.0,163258.0,10
11,A12,121418.0,124788.0,11
12,B1,95363.0,94588.0,12
13,B2,88216.0,84427.0,13
14,B3,172495.0,213864.0,14
15,B4,160217.0,193691.0,15
16,B5,175578.0,216546.0,16
17,B6,150254.0,180659.0,17
18,B7,155814.0,188860.0,18
19,B8,93657.0,97413.0,19
20,B9,99440.0,100794.0,20
21,B10,140317.0,165459.0,21
22,B11,155236.0,187999.0,22
23,B12,89846.0,92458.0,23
24,C1,53881.0,67229.0,24
25,C2,92371.0,110851.0,25
26,C3,140436.0,167000.0,26
27,C4,121328.0,133527.0,27
28,C5,79299.0,97944.0,28
29,C6,34589.0,46134.0,29
30,C7,53904.0,73177.0,30
31,C8,148096.0,176736.0,31
32,C9,258773.0,342903.0,32
33,C10,95750.0,134397.0,33
34,C11,168580.0,256606.0,34
