,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,206470.0,267425.0,0
1,A2,164847.0,221692.0,1
2,A3,112931.0,117139.0,2
3,A4,179673.0,205628.0,3
4,A5,179158.0,204462.0,4
5,A6,188204.0,236676.0,5
6,A7,183341.0,232642.0,6
7,A8,258164.0,344147.0,7
8,A9,213187.0,276207.0,8
9,A10,211388.0,274662.0,9
10,A11,139512.0,164544.0,10
11,A12,123825.0,128273.0,11
12,B1,96359.0,94656.0,12
13,B2,88066.0,83849.0,13
14,B3,162186.0,198487.0,14
15,B4,155681.0,184822.0,15
16,B5,157358.0,187280.0,16
17,B6,146923.0,173820.0,17
18,B7,153177.0,178845.0,18
19,B8,96538.0,100809.0,19
20,B9,101567.0,103725.0,20
21,B10,128064.0,143985.0,21
22,B11,157648.0,190824.0,22
23,B12,94144.0,95146.0,23
24,C1,52925.0,65522.0,24
25,C2,94138.0,113818.0,25
26,C3,143264.0,169847.0,26
27,C4,124074.0,137985.0,27
28,C5,79725.0,98973.0,28
29,C6,33215.0,44600.0,29
30,C7,53700.0,72766.0,30
31,C8,149838.0,179765.0,31
32,C9,262827.0,349703.0,32
33,C10,95090.0,133617.0,33
34,C11,166786.0,255787.0,34
