,well_position,turbidity_600
0,A1,0.0391
1,A2,0.0387
2,A3,0.0386
3,A4,0.0392
4,A5,0.0388
5,A6,0.04
6,A7,0.04
7,A8,0.0378
8,A9,0.038
9,A10,0.0378
10,A11,0.0386
11,A12,0.0401
12,B1,0.039
13,B2,0.0385
14,B3,0.0389
15,B4,0.0441
16,B5,0.0388
17,B6,0.0386
18,B7,0.0382
19,B8,0.1012
20,B9,0.0513
21,B10,0.0393
22,B11,0.0388
23,B12,0.0569
24,C1,0.5628
25,C2,0.1194
26,C3,0.0382
27,C4,0.0473
28,C5,0.2245
29,C6,1.6541
30,C7,1.4813
31,C8,0.0379
32,C9,0.0383
33,C10,1.2843
34,C11,2.8615
