,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,225535.0,295982.0,0
1,A2,135316.0,166811.0,1
2,A3,121139.0,126518.0,2
3,A4,202137.0,236866.0,3
4,A5,207817.0,243325.0,4
5,A6,181933.0,220193.0,5
6,A7,172942.0,223444.0,6
7,A8,240038.0,326472.0,7
8,A9,201947.0,266038.0,8
9,A10,164265.0,206009.0,9
10,A11,141814.0,168434.0,10
11,A12,130515.0,139343.0,11
12,B1,100024.0,102202.0,12
13,B2,88684.0,82936.0,13
14,B3,135639.0,161305.0,14
15,B4,133447.0,162192.0,15
16,B5,139061.0,166201.0,16
17,B6,123820.0,145630.0,17
18,B7,131884.0,155700.0,18
19,B8,102675.0,111441.0,19
20,B9,110460.0,114899.0,20
21,B10,119472.0,133308.0,21
22,B11,127003.0,147144.0,22
23,B12,97671.0,99533.0,23
24,C1,49361.0,61418.0,24
25,C2,69748.0,77437.0,25
26,C3,109009.0,121798.0,26
27,C4,119982.0,131647.0,27
28,C5,77292.0,96490.0,28
29,C6,31034.0,41183.0,29
30,C7,40377.0,53272.0,30
31,C8,154648.0,183100.0,31
32,C9,256184.0,339077.0,32
33,C10,81531.0,112921.0,33
34,C11,135278.0,203626.0,34
