,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,195967.0,253164.0,0
1,A2,173232.0,221082.0,1
2,A3,102629.0,104441.0,2
3,A4,159564.0,180047.0,3
4,A5,163237.0,183920.0,4
5,A6,197787.0,251671.0,5
6,A7,177367.0,224132.0,6
7,A8,247148.0,330790.0,7
8,A9,203390.0,261936.0,8
9,A10,201626.0,259875.0,9
10,A11,133816.0,158175.0,10
11,A12,115738.0,119471.0,11
12,B1,92369.0,91078.0,12
13,B2,87934.0,85566.0,13
14,B3,174521.0,215680.0,14
15,B4,155660.0,188398.0,15
16,B5,172614.0,213315.0,16
17,B6,146092.0,175424.0,17
18,B7,154606.0,189159.0,18
19,B8,91164.0,93795.0,19
20,B9,95999.0,96776.0,20
21,B10,141483.0,167369.0,21
22,B11,150966.0,183343.0,22
23,B12,87982.0,87405.0,23
24,C1,53147.0,65598.0,24
25,C2,88438.0,106773.0,25
26,C3,135990.0,160542.0,26
27,C4,115540.0,124382.0,27
28,C5,75197.0,92595.0,28
29,C6,36270.0,49037.0,29
30,C7,54648.0,73915.0,30
31,C8,144391.0,172436.0,31
32,C9,249351.0,331426.0,32
33,C10,98032.0,136454.0,33
34,C11,161718.0,246769.0,34
