,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,200484.0,257013.0,0
1,A2,174028.0,224917.0,1
2,A3,105774.0,107567.0,2
3,A4,165511.0,186256.0,3
4,A5,169139.0,189129.0,4
5,A6,196323.0,247360.0,5
6,A7,179818.0,227812.0,6
7,A8,252444.0,336371.0,7
8,A9,205265.0,266301.0,8
9,A10,205659.0,263155.0,9
10,A11,135903.0,160507.0,10
11,A12,118492.0,122031.0,11
12,B1,94336.0,92737.0,12
13,B2,87859.0,84999.0,13
14,B3,174828.0,214701.0,14
15,B4,158865.0,192305.0,15
16,B5,174217.0,216537.0,16
17,B6,148491.0,178927.0,17
18,B7,157594.0,192086.0,18
19,B8,92100.0,95664.0,19
20,B9,97296.0,99094.0,20
21,B10,142708.0,167921.0,21
22,B11,153285.0,186077.0,22
23,B12,90427.0,89950.0,23
24,C1,53845.0,66461.0,24
25,C2,90618.0,108508.0,25
26,C3,138330.0,164240.0,26
27,C4,117809.0,128731.0,27
28,C5,77110.0,95141.0,28
29,C6,35425.0,47766.0,29
30,C7,53987.0,72457.0,30
31,C8,146432.0,174686.0,31
32,C9,254820.0,337979.0,32
33,C10,97473.0,135697.0,33
34,C11,164725.0,250822.0,34
