,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,176631.0,218071.0,0
1,A2,143973.0,174588.0,1
2,A3,130389.0,139262.0,2
3,A4,221096.0,257866.0,3
4,A5,219585.0,255884.0,4
5,A6,174095.0,205777.0,5
6,A7,166478.0,206186.0,6
7,A8,227280.0,296021.0,7
8,A9,174676.0,217391.0,8
9,A10,149922.0,180182.0,9
10,A11,130659.0,153291.0,10
11,A12,133422.0,141841.0,11
12,B1,100731.0,102019.0,12
13,B2,88832.0,84357.0,13
14,B3,128827.0,145252.0,14
15,B4,125561.0,143029.0,15
16,B5,137528.0,160156.0,16
17,B6,122557.0,138318.0,17
18,B7,133700.0,156985.0,18
19,B8,106822.0,114709.0,19
20,B9,114670.0,121047.0,20
21,B10,118157.0,130315.0,21
22,B11,123803.0,142708.0,22
23,B12,102379.0,105059.0,23
24,C1,43362.0,53330.0,24
25,C2,68866.0,73964.0,25
26,C3,110200.0,118786.0,26
27,C4,120976.0,132976.0,27
28,C5,68882.0,83638.0,28
29,C6,29690.0,39795.0,29
30,C7,25128.0,31057.0,30
31,C8,137904.0,160743.0,31
32,C9,198894.0,256429.0,32
33,C10,54258.0,73615.0,33
34,C11,120065.0,179791.0,34
