,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,212050.0,268016.0,0
1,A2,141558.0,169947.0,1
2,A3,127721.0,134300.0,2
3,A4,214034.0,249616.0,3
4,A5,214015.0,247343.0,4
5,A6,175812.0,210177.0,5
6,A7,167472.0,208292.0,6
7,A8,228001.0,298185.0,7
8,A9,174035.0,217302.0,8
9,A10,145666.0,174626.0,9
10,A11,124069.0,138964.0,10
11,A12,131300.0,139516.0,11
12,B1,99912.0,101497.0,12
13,B2,88455.0,84409.0,13
14,B3,130099.0,148769.0,14
15,B4,126805.0,146289.0,15
16,B5,137921.0,159983.0,16
17,B6,122250.0,137229.0,17
18,B7,132650.0,154288.0,18
19,B8,104482.0,112170.0,19
20,B9,112499.0,118446.0,20
21,B10,118002.0,129556.0,21
22,B11,123395.0,141287.0,22
23,B12,100582.0,103172.0,23
24,C1,45854.0,56600.0,24
25,C2,68102.0,73611.0,25
26,C3,109137.0,117934.0,26
27,C4,120892.0,133474.0,27
28,C5,72591.0,88242.0,28
29,C6,30042.0,40453.0,29
30,C7,26723.0,33251.0,30
31,C8,138101.0,161918.0,31
32,C9,198321.0,255307.0,32
33,C10,62671.0,85134.0,33
34,C11,127389.0,192025.0,34
