,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,191734.0,243506.0,0
1,A2,149291.0,184760.0,1
2,A3,141276.0,153087.0,2
3,A4,239022.0,280772.0,3
4,A5,236563.0,277368.0,4
5,A6,171649.0,199908.0,5
6,A7,165629.0,204382.0,6
7,A8,222281.0,290048.0,7
8,A9,175731.0,220175.0,8
9,A10,159637.0,194908.0,9
10,A11,115950.0,129084.0,10
11,A12,137571.0,147508.0,11
12,B1,100983.0,100742.0,12
13,B2,89167.0,84853.0,13
14,B3,127233.0,141400.0,14
15,B4,120312.0,135610.0,15
16,B5,135614.0,158482.0,16
17,B6,124540.0,143319.0,17
18,B7,134787.0,158608.0,18
19,B8,110736.0,119948.0,19
20,B9,118418.0,126247.0,20
21,B10,115526.0,125646.0,21
22,B11,127183.0,147532.0,22
23,B12,103932.0,107518.0,23
24,C1,39129.0,46093.0,24
25,C2,71001.0,75159.0,25
26,C3,113551.0,126590.0,26
27,C4,121209.0,133130.0,27
28,C5,67132.0,80169.0,28
29,C6,31194.0,41788.0,29
30,C7,23739.0,28703.0,30
31,C8,144800.0,173667.0,31
32,C9,201648.0,261582.0,32
33,C10,42926.0,56821.0,33
34,C11,91277.0,137268.0,34
