,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,191482.0,244588.0,0
1,A2,150791.0,187073.0,1
2,A3,146046.0,157649.0,2
3,A4,245832.0,289738.0,3
4,A5,242262.0,285558.0,4
5,A6,172260.0,199926.0,5
6,A7,165729.0,204262.0,6
7,A8,222763.0,289563.0,7
8,A9,175438.0,220100.0,8
9,A10,161134.0,197438.0,9
10,A11,115115.0,127521.0,10
11,A12,138212.0,148518.0,11
12,B1,100791.0,101239.0,12
13,B2,89474.0,84530.0,13
14,B3,127784.0,142284.0,14
15,B4,118850.0,134078.0,15
16,B5,135906.0,157458.0,16
17,B6,125609.0,144581.0,17
18,B7,135400.0,158732.0,18
19,B8,112569.0,121723.0,19
20,B9,119426.0,127297.0,20
21,B10,114190.0,124562.0,21
22,B11,127886.0,148328.0,22
23,B12,104399.0,107900.0,23
24,C1,38479.0,45122.0,24
25,C2,71260.0,75241.0,25
26,C3,114432.0,128253.0,26
27,C4,121543.0,134089.0,27
28,C5,66887.0,79026.0,28
29,C6,33284.0,44859.0,29
30,C7,23585.0,28629.0,30
31,C8,145093.0,174813.0,31
32,C9,201697.0,262618.0,32
33,C10,40452.0,52920.0,33
34,C11,83394.0,124262.0,34
