,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,186224.0,233258.0,0
1,A2,146742.0,179939.0,1
2,A3,134812.0,144802.0,2
3,A4,231104.0,269353.0,3
4,A5,227395.0,266063.0,4
5,A6,172952.0,202763.0,5
6,A7,166435.0,205631.0,6
7,A8,226135.0,294267.0,7
8,A9,175750.0,218843.0,8
9,A10,154985.0,187778.0,9
10,A11,119307.0,134202.0,10
11,A12,135324.0,144311.0,11
12,B1,101117.0,101379.0,12
13,B2,88808.0,84409.0,13
14,B3,127564.0,142831.0,14
15,B4,122952.0,140155.0,15
16,B5,136970.0,161019.0,16
17,B6,123031.0,141108.0,17
18,B7,133747.0,158328.0,18
19,B8,109223.0,117798.0,19
20,B9,116606.0,123404.0,20
21,B10,117287.0,128548.0,21
22,B11,125566.0,145440.0,22
23,B12,104042.0,107339.0,23
24,C1,41053.0,49843.0,24
25,C2,69905.0,74628.0,25
26,C3,111803.0,122651.0,26
27,C4,121594.0,133878.0,27
28,C5,67678.0,80603.0,28
29,C6,31449.0,41868.0,29
30,C7,24503.0,29727.0,30
31,C8,142221.0,169249.0,31
32,C9,201382.0,261952.0,32
33,C10,48878.0,64372.0,33
34,C11,97226.0,145938.0,34
