,well_position,fluorescence_334_373,fluorescence_334_384,wellplate_index
0,A1,190934.0,242221.0,0
1,A2,154485.0,191435.0,1
2,A3,150259.0,164688.0,2
3,A4,253942.0,299718.0,3
4,A5,249805.0,294896.0,4
5,A6,174233.0,201203.0,5
6,A7,166490.0,205529.0,6
7,A8,220820.0,284830.0,7
8,A9,177134.0,221651.0,8
9,A10,164925.0,202155.0,9
10,A11,115336.0,127636.0,10
11,A12,139627.0,149753.0,11
12,B1,100129.0,100602.0,12
13,B2,89690.0,84917.0,13
14,B3,128469.0,143010.0,14
15,B4,116872.0,131323.0,15
16,B5,134923.0,157242.0,16
17,B6,126899.0,145348.0,17
18,B7,135043.0,158811.0,18
19,B8,112405.0,121708.0,19
20,B9,120439.0,129177.0,20
21,B10,112542.0,121449.0,21
22,B11,129165.0,149336.0,22
23,B12,103775.0,106846.0,23
24,C1,38810.0,45172.0,24
25,C2,71399.0,75676.0,25
26,C3,116898.0,131408.0,26
27,C4,123256.0,135269.0,27
28,C5,66969.0,79135.0,28
29,C6,33518.0,45335.0,29
30,C7,23689.0,28465.0,30
31,C8,146080.0,174164.0,31
32,C9,203822.0,264847.0,32
33,C10,37853.0,48664.0,33
34,C11,64547.0,97165.0,34
