,well_position,turbidity_600
0,A1,0.039
1,A2,0.0415
2,A3,0.0386
3,A4,0.0391
4,A5,0.0388
5,A6,0.0399
6,A7,0.0401
7,A8,0.0379
8,A9,0.0378
9,A10,0.0378
10,A11,0.0387
11,A12,0.0401
12,B1,0.0392
13,B2,0.0384
14,B3,0.0393
15,B4,0.0436
16,B5,0.0384
17,B6,0.039
18,B7,0.0382
19,B8,0.0721
20,B9,0.0451
21,B10,0.0391
22,B11,0.039
23,B12,0.0499
24,C1,0.3202
25,C2,0.085
26,C3,0.0385
27,C4,0.0444
28,C5,0.1618
29,C6,1.1411
30,C7,1.2283
31,C8,0.0384
32,C9,0.0602
33,C10,1.617
34,C11,2.9679
