surf_A_conc_mm,surf_B_conc_mm,triangle_score,max_distance,second_largest_distance,triangle_area,triangle_vertices,rank
6.6761203761643175,14.083364470639506,4.105716637144179,2.942573736674354,2.7024749741535996,0.04244323566501877,"(44, 157, 88)",1
4.898047679053377,11.639557766626256,3.0913651726253297,2.7024749741535996,2.046348598872295,0.028527420692881472,"(88, 157, 75)",2
5.1370701110261665,20.293118962673272,3.0850436864891586,2.8538610066065546,2.3220771526124016,0.025476645872066814,"(157, 132, 19)",3
3.2929537879317423,17.313060727718057,2.6135241685954917,2.3220771526124016,1.824091806058135,0.027617540483164803,"(63, 157, 19)",4
3.453648390014008,13.321869856073466,2.4015192572342503,2.046348598872295,1.824091806058135,0.030026046920650105,"(157, 63, 75)",5
8.607639643274121,0.5301194311931712,2.2575976101164796,1.7447344041262451,1.0284850206529006,0.036502253119221735,"(41, 156, 142)",6
7.40214989819925,18.5957020635992,1.9723224754581865,2.942573736674354,2.8400294438694393,0.009794592845773581,"(82, 157, 44)",7
8.607639643274121,0.39830780368312485,1.874145387064696,1.7447344041262451,1.0214534022248365,0.02515551168040206,"(156, 46, 142)",8
8.077818624430229,0.08739931985013004,1.634306779933753,1.5706856039318455,1.5205036564976626,0.023603363087355993,"(89, 62, 101)",9
4.048117125910232,2.993647538183197,1.6146602852099514,1.643841210085537,0.8964220170880223,0.021034289554038313,"(18, 84, 111)",10
0.8882645034986216,13.679209832061723,1.6089673896507117,1.418588954718966,0.97276788489779,0.02804571940538442,"(127, 40, 135)",11
1.259758203043153,1.3530876246775145,1.6068258756130118,1.2011023819509925,1.1280180745491697,0.039017804287261926,"(45, 80, 25)",12
4.898047679053379,5.178026163288934,1.5875196895959354,1.4444800385408276,1.0360150259448917,0.026333003716505984,"(55, 108, 111)",13
0.38280277553679454,0.6164529352098562,1.5787268875408644,1.359865040138578,1.0807577944477331,0.029383778537320732,"(85, 105, 12)",14
