,well_position,334_373,334_384
0,A1,233230.0,297290.0
1,A2,185199.0,233807.0
2,A3,289020.0,335006.0
3,A4,294359.0,341190.0
4,A5,278519.0,321984.0
5,A6,281854.0,325554.0
6,A7,244257.0,280922.0
7,A8,189337.0,234504.0
8,A9,301631.0,349130.0
9,A10,273317.0,316723.0
10,A11,261828.0,302693.0
11,A12,244655.0,281769.0
12,B1,189065.0,232660.0
13,B2,326837.0,378807.0
14,B3,296490.0,343266.0
15,B4,224928.0,261565.0
16,B5,208690.0,238770.0
17,B6,208405.0,264140.0
18,B7,309977.0,358658.0
19,B8,264425.0,301960.0
20,B9,194101.0,217781.0
21,B10,68840.0,94532.0
22,B11,209912.0,264022.0
23,B12,239547.0,307263.0
24,C1,230597.0,293903.0
25,C2,252102.0,325256.0
26,C3,230514.0,296586.0
27,C4,117113.0,170537.0
28,C5,227428.0,293679.0
29,C6,187912.0,236121.0
30,C7,307951.0,353060.0
