wellplate_index,well_type,control_type,surf_A,surf_B,surf_A_conc_mm,surf_B_conc_mm,substock_A_name,substock_A_conc_mm,surf_A_volume_ul,substock_B_name,substock_B_conc_mm,surf_B_volume_ul,water_volume_ul,buffer_volume_ul,buffer_used,pyrene_volume_ul,replicate,turbidity_600,fluorescence_334_373,fluorescence_334_384,ratio
0,control,surfactant_A_stock,SDS,TTAB,50.0,,SDS_stock,50.0,200.0,,,0.0,0.0,0.0,,5,1,0.039,198031.0,245840.0,0.8055279856817442
1,control,surfactant_B_stock,SDS,TTAB,,50.0,,,0.0,TTAB_stock,50.0,200.0,0.0,0.0,,5,1,0.0381,124888.0,140369.0,0.8897121159230315
2,control,water_blank,SDS,TTAB,,,,,0.0,,,0.0,200.0,0.0,,5,1,0.0385,284543.0,324819.0,0.8760047903601699
3,control,cmc_SDS_1,SDS,TTAB,2.8666666666666667,,SDS_dilution_1,4.0,143.33333333333334,,,0.0,56.66666666666666,0.0,,5,1,0.0385,174326.0,190800.0,0.9136582809224318
4,control,cmc_SDS_2,SDS,TTAB,4.635725860128543,,SDS_dilution_0,10.0,92.71451720257087,,,0.0,107.28548279742913,0.0,,5,1,0.0392,201666.0,226443.0,0.8905817358010625
5,control,cmc_SDS_3,SDS,TTAB,6.534586896603694,,SDS_dilution_0,10.0,130.6917379320739,,,0.0,69.30826206792611,0.0,,5,1,0.0377,172274.0,189905.0,0.9071588425791843
6,control,cmc_SDS_4,SDS,TTAB,8.02931271970357,,SDS_dilution_0,10.0,160.58625439407143,,,0.0,39.41374560592857,0.0,,5,1,0.0388,153961.0,174595.0,0.8818179214754145
7,control,cmc_SDS_5,SDS,TTAB,9.211249154427064,,SDS_dilution_0,10.0,184.22498308854125,,,0.0,15.77501691145875,0.0,,5,1,0.038,173437.0,206651.0,0.8392749127756459
8,control,cmc_SDS_6,SDS,TTAB,11.318236511391435,,SDS_stock,50.0,45.27294604556574,,,0.0,154.72705395443427,0.0,,5,1,0.0379,162173.0,190567.0,0.8510025345416573
9,control,cmc_SDS_7,SDS,TTAB,15.954351536643529,,SDS_stock,50.0,63.817406146574115,,,0.0,136.18259385342589,0.0,,5,1,0.0389,163610.0,193963.0,0.8435113913478344
10,control,cmc_SDS_8,SDS,TTAB,25.799999999999994,,SDS_stock,50.0,103.19999999999999,,,0.0,96.80000000000001,0.0,,5,1,0.039,90201.0,87000.0,1.0367931034482758
11,control,cmc_TTAB_1,SDS,TTAB,,1.2566666666666668,,,0.0,TTAB_dilution_2,1.5,167.55555555555557,32.44444444444443,0.0,,5,1,0.0419,95547.0,87600.0,1.0907191780821919
