vial_name,surfactant,target_concentration_mm,needed_for_concentrations,source_vial,source_concentration_mm,source_volume_ml,water_volume_ml,final_volume_ml,dilution_factor
SDS_dilution_0,SDS,10.0,,SDS_stock,50.0,1.2,4.8,6.0,5.0
SDS_dilution_1,SDS,4.0,4.74e-01,SDS_stock,50.0,0.48,5.52,6.0,12.5
SDS_dilution_2,SDS,1.5,,SDS_dilution_0,10.0,0.8999999999999999,5.1,6.0,6.666666666666667
SDS_dilution_3,SDS,0.7000000000000001,6.89e-02,SDS_dilution_0,10.0,0.42000000000000004,5.58,6.0,14.285714285714285
SDS_dilution_4,SDS,0.30000000000000004,,SDS_dilution_1,4.0,0.45000000000000007,5.55,6.0,13.333333333333332
SDS_dilution_5,SDS,0.1,1.00e-02,SDS_dilution_2,1.5,0.4,5.6,6.0,15.0
TTAB_dilution_0,TTAB,10.0,,TTAB_stock,50.0,1.2,4.8,6.0,5.0
TTAB_dilution_1,TTAB,4.0,4.74e-01,TTAB_stock,50.0,0.48,5.52,6.0,12.5
TTAB_dilution_2,TTAB,1.5,,TTAB_dilution_0,10.0,0.8999999999999999,5.1,6.0,6.666666666666667
TTAB_dilution_3,TTAB,0.7000000000000001,6.89e-02,TTAB_dilution_0,10.0,0.42000000000000004,5.58,6.0,14.285714285714285
TTAB_dilution_4,TTAB,0.30000000000000004,,TTAB_dilution_1,4.0,0.45000000000000007,5.55,6.0,13.333333333333332
TTAB_dilution_5,TTAB,0.1,1.00e-02,TTAB_dilution_2,1.5,0.4,5.6,6.0,15.0
