volume,metric,first_half,second_half,improvement_pct
0.01,deviation,31.766856123927433,17.90928340577299,43.622738945566105
0.01,time,270.37497842909124,169.82792050575472,37.18800404812832
0.01,variability,0.8014688762213168,0.44772778829904286,44.13659699301814
0.02,deviation,15.995542182102021,14.109439429399599,11.791427456662579
0.02,time,265.82080668279735,141.28097074452631,46.85104882962898
0.02,variability,0.48575357647604717,0.4215427881569053,13.218798878428458
0.05,deviation,9.155912180987384,8.462275716037126,7.575831345244019
0.05,time,263.791338404399,132.2737125075856,49.85668850703258
0.05,variability,0.8600977228772438,0.37860466571572216,55.981203571939005
0.1,deviation,5.445224562576691,5.225454140198427,4.036021285305224
0.1,time,258.3607966323313,174.51107470234697,32.454506652303515
0.1,variability,0.7397923963032861,0.5877864667101611,20.547106235843017
