aspirate_speed,dispense_speed,aspirate_wait_time,blowout_vol,post_asp_air_vol,pre_asp_air_vol,dispense_wait_time,asp_disp_cycles,overaspirate_vol,volume_target,post_retract_wait_time,retract_speed,volume_measured,volume_target_ul,time,average_deviation,variability,trials_count,status,measurement_count
20,11,3.3,0,0.05,0.3,1.5,0,0.00880742,400,0,5,400.5344098,400,36.59859436,0.156670511,0.199173526,3,success,7
20,11,3.3,0,0.05,0.3,1.5,0,0.009424024,500,0,5,500.2883506,500,40.72103264,0.14994233,0.243170295,3,success,7
20,11,3.3,0,0.05,0.3,1.5,0,0.0076,600,0,5,597.8269896,600,44.50722428,0.362168397,0.151704332,11,success,47
14,15,3.2,0,0.01,0.7,1.5,0,0.006522645,80,0,5,81.47635525,80,27.4739714,1.84544406,1.407109132,3,success,7
14,15,3.2,0,0.01,0.7,1.5,0,0.004786162,100,0,5,99.82122261,100,27.99615086,0.547866205,0.678806868,3,success,7
14,15,3.2,0,0.01,0.7,1.5,0,0.0054,120,0,5,119.8154556,120,28.273348,0.522875817,0.786196265,10,success,42
